HUC10,NAME
204020400,Delaware Bay-Deep
204030306,Fenwick Island-Assateague Island-Atlantic Ocean
204020504,Brandywine Creek
204010101,Upper West Branch Delaware River
204010102,Middle West Branch Delaware River
204010105,Middle Delaware River
204010201,Willowemoc Creek
204010202,Beaver Kill
204010203,Upper East Branch Delaware River
204010204,Middle East Branch Delaware River
204010205,Lower East Branch Delaware River
204010401,Mongaup River
204010402,Basher Kill
204020503,White Clay Creek
204010506,Upper Delaware River
204020203,Pennypack Creek-Rancocas Creek
204020205,Darby Creek-Mantua Creek
204020206,Raccoon Creek-Delaware River
204010104,Upper Delaware River
204010106,Lower Delaware River
204010301,West Branch Lackawaxen River
204010302,Dyberry Creek
204010303,Middle Creek
204010304,West Branch Wallenpaupack Creek
204010305,Wallenpaupack Creek
204010306,Lackawaxen River
204010404,Shahola Creek
204010406,Bush Kill
204010408,Pocono Creek
204010409,Broadhead Creek
204010503,Bushkill Creek-Delaware River
204010507,Tohickon Creek-Delaware River
204010601,Tobyhanna Creek
204010602,Upper Lehigh River
204010603,Middle Lehigh River
204010604,Pohopoco Creek
204010605,Aquashicola Creek
204010606,Jordan Creek
204010607,Little Lehigh Creek
204010608,Lower Lehigh River
204020102,Upper Neshaminy Creek
204020103,Lower Neshaminy Creek
204020301,Little Schuylkill River
204020302,Upper Schuylkill River
204020303,Maiden Creek
204020304,Tulpehocken Creek
204020305,Manatawny Creek
204020306,Middle Schuylkill River
204020307,French Creek
204020308,Perkiomen Creek
204020309,Wissahickon Creek
204020310,Lower Schuylkill River
204020501,East Branch Brandywine Creek
204020502,West Branch Brandywine Creek
204010103,Lower West Branch Delaware River
204030303,Inland Bays
204030305,Lower Chincoteague Bay
204030304,Upper Chincoteague Bay
204030401,Metompkin Bay-Burtons Bay
204030402,Machipongo River-Hog Island Bay
204030403,Magothy Bay-Cobb Bay
204030404,Parramore Island-Atlantic Ocean
204030405,Rudee Inlet-Atlantic Ocean
204010410,Flat Brook-Delaware River
204020201,North Branch Rancocas Creek
204010501,Paulins Kill River-Delaware River
204010502,Pequest River-Delaware River
204010504,Pohatcong Creek-Delaware River
204010505,Musconetcong River
204010508,Assunpink Creek-Delaware River
204020101,Crosswicks Creek
204020505,Christina River
204020506,Shellpot Creek-Delaware River
204020507,C&D Canal - Red Lion Creek
204020508,Appoquinimink River-Delaware River
204020701,Smyrna River-Delaware Bay
204020702,Leipsic River-Delaware Bay
204020703,Saint Jones River
204020704,Murderkill River-Delaware Bay
204020705,Mispillion River-Delaware Bay
204020706,Broadkill River-Delaware Bay
204030301,Rehoboth Bay
204030302,Indian River Bay
204010403,Neversink River
204010405,Halfway Brook-Delaware River
204010407,Raymondskill Creek-Delaware River
204010509,Lower Delaware River
204020104,Assiscunk Creek-Delaware River
204020204,Cooper River-Delaware River
204020604,Upper Maurice River
204020605,Lower Maurice River
204020606,Stow Creek-Delaware Bay
204020607,Dennis Creek-Delaware Bay
204030101,Manasquan River-Atlantic Ocean
204030102,Metedeconk River
204030103,Toms River
204030104,Barnegat Bay
204030105,Wading River
204030106,Mullica River
204030107,Manahawkin Bay-Little Egg Harbor
204030108,Atlantic Ocean
204030201,Upper Great Egg Harbor River
204030202,Lower Great Egg Harbor River
204030203,Tuckahoe River
204030204,Great Egg Harbor Bay-Barrier Islands
204030205,Great Egg Harbor Bay-Atlantic Ocean
204020202,South Branch Rancocas Creek
204020601,Salem River-Delaware River
204020602,Alloway Creek
204020603,Cohansey River
