"comid","nord","huc10"
2612826,74277,"0204010101"
2614138,74141,"0204010102"
2617290,73934,"0204010103"
2616816,73702,"0204010104"
2617486,73565,"0204010105"
2619256,73297,"0204010106"
1750427,74638,"0204010201"
1752843,74589,"0204010202"
1748587,74889,"0204010203"
1748773,74873,"0204010204"
1752159,74523,"0204010205"
2739836,72986,"0204010301"
2739540,73127,"0204010302"
2743080,72880,"0204010303"
2742850,72653,"0204010304"
2743218,72535,"0204010305"
2741462,72447,"0204010306"
4151446,71800,"0204010401"
4147706,71472,"0204010402"
4151522,71291,"0204010403"
4151396,72197,"0204010404"
4158256,71290,"0204010405"
4151824,70788,"0204010406"
4151822,71000,"0204010407"
4154498,70293,"0204010408"
4154494,70249,"0204010409"
4154510,70222,"0204010410"
2586995,69706,"0204010501"
2587861,69673,"0204010502"
2588259,69534,"0204010503"
2588067,69479,"0204010504"
2588261,69326,"0204010505"
2588483,69309,"0204010506"
2591253,69085,"0204010507"
2590137,68820,"0204010508"
4481949,68818,"0204010509"
4185711,75896,"0204010601"
4186549,75819,"0204010602"
4188171,75528,"0204010603"
4187389,75395,"0204010604"
4187957,75288,"0204010605"
4188007,75134,"0204010606"
4187747,75049,"0204010607"
4188251,74985,"0204010608"
4481793,68604,"0204020101"
4483005,68350,"0204020102"
4481917,68275,"0204020103"
4485575,68274,"0204020104"
932040307,68018,"0204020201"
4492218,67694,"0204020202"
4488286,67672,"0204020203"
4495990,67538,"0204020204"
4496226,65319,"0204020205"
24903452,65081,"0204020206"
4779719,67010,"0204020301"
4779859,67162,"0204020302"
4782267,66753,"0204020303"
4782309,66496,"0204020304"
4782395,66215,"0204020305"
4782429,66287,"0204020306"
4781691,66081,"0204020307"
4782543,65642,"0204020308"
4782625,65470,"0204020309"
4784841,65459,"0204020310"
24903800,63468,"0204020400"
4650714,64401,"0204020501"
4651852,64578,"0204020502"
4652174,64774,"0204020503"
4655442,64239,"0204020504"
24902758,64237,"0204020505"
24902756,65049,"0204020506"
24903566,63768,"0204020507"
932040184,77009,"0204020508"
24903538,63773,"0204020601"
24903606,63498,"0204020602"
9486246,77937,"0204020603"
9484562,112383,"0204020604"
9486502,112152,"0204020605"
24903666,63485,"0204020606"
9483638,121223,"0204020607"
25039920,77563,"0204020701"
25039974,77684,"0204020702"
8075784,117858,"0204020703"
8075804,117432,"0204020704"
8080210,117578,"0204020705"
8077930,116139,"0204020706"
9442313,119636,"0204030101"
9468645,118790,"0204030102"
9454915,114739,"0204030103"
9454953,119865,"0204030104"
9450727,107143,"0204030105"
9455643,106890,"0204030106"
9452077,106911,"0204030107"
9433771,114555,"0204030201"
9436873,114472,"0204030202"
9436881,120357,"0204030203"
9437503,120596,"0204030204"
8415685,121677,"0204030301"
8415649,118352,"0204030302"
8410579,121715,"0204030303"
8411103,118955,"0204030304"
8413153,118895,"0204030305"
8413213,118894,"0204030306"
12056596,122290,"0204030401"
12059272,118685,"0204030402"
12058618,124317,"0204030403"
12056532,125532,"0204030404"
9891532,113508,"0204030405"
