Hydrologic Unit Code 12-Digit (HUC12),HUC12 Name
20401010101,Town Brook-Headwaters West Brach Delaware River
20401010102,Betty Brook-Headwaters West Brach Delaware River
20401010103,Rose Brook-Headwaters West Brach Delaware River
20401010104,Elk Creek-Headwaters West Brach Delaware River
20401010105,Upper Little Delaware River
20401010106,Wright Brook-Headwaters West Brach Delaware River
20401010201,Platner Brook-Upper West Branch Delaware River
20401010202,Bagley Brook-Upper West Branch Delaware River
20401010203,East Brook
20401010204,Mallory Brook-Upper West Branch Delaware River
20401010205,Beers Brook-Middle West Branch Delaware River
20401010206,Upper Trout Creek
20401010207,Cannonsville Reservoir
20401010301,East Branch Cold Spring Creek
20401010302,Upper Oquaga Creek
20401010303,Lower Oquaga Creek
20401010304,Big Hollow-Lower West Branch Delaware River
20401010305,Sherman Creek-Lower West Branch Delaware River
20401010306,Sands Creek
20401010307,Balls Creek-Lower West Branch Delaware River
20401010403,Factory Creek-Delaware River
20401010404,Basket Creek
20401010406,Pea Brook-Delaware River
20401010501,Hankins Creek-Delaware River
20401010502,North Branch Callicoon Creek
20401010503,Upper East Branch Callicoon Creek
20401010504,Middle East Branch Callicoon Creek
20401010505,Lower East Branch Callicoon Creek
20401010506,Beaverdam Creek-Delaware River
20401010603,Tenmile River
20401010604,Peggy Run-Delaware River
20401010606,Westcolang Creek-Delaware River
20401020101,Little Beaver Kill
20401020102,Upper Willowemoc Creek
20401020103,Middle Willowemoc Creek
20401020104,Lower Willowemoc Creek
20401020201,Upper Beaver Kill
20401020202,Middle Beaver Kill
20401020203,Tennanah Lake-Trout Brook
20401020204,Lower Beaver Kill
20401020301,Batavia Kill
20401020302,Pleasant Valley Brook-East Branch Delaware River
20401020303,Vly Creek-Bush Kill
20401020304,Dry Brook
20401020305,Platte Kill
20401020306,Huckleberry Brook-East Branch Delaware River
20401020401,Mill Brook - 20401020401
20401020402,Tremper Kill-Pepacton Reservoir
20401020403,Upper Pepacton Reservoir
20401020404,Murphy Hill Brook-Pepacton Reservoir
20401020405,Lower Pepacton Reservoir
20401020501,Wilson Hollow Brook-Downs Brook
20401020502,Trout Brook-East Branch Delaware River
20401020503,Baxter Brook-East Branch Delaware River
20401020504,Read Creek
20401020505,Fish Creek-East Branch Delaware River
20401020506,Cadosia Creek
20401020507,Peas Eddy Brook-East Branch Delaware River
20401040101,Middle Mongaup River
20401040102,East Mongaup River
20401040103,West Branch Mongaup River
20401040104,Swinging Bridge Reservoir-Mongaup River
20401040105,Black Lake Creek
20401040106,Black Brook
20401040107,Rio Reservoir-Mongaup River
20401040201,Gumaer Brook-Basher Kill
20401040202,Pine Kill
20401040203,Basher Kill
20401040301,West Branch Neversink River
20401040302,East Branch Neversink River
20401040303,Neversink Reservoir
20401040304,Sheldrake Stream
20401040305,Upper Neversink River
20401040306,Turner Brook-Bush Kill
20401040307,Middle Neversink River
20401040308,Lower Neversink River
20401040501,Beaver Brook - 20401040501
20401040502,Halfway Brook
20401040503,Mill Brook - 20401040503
20401040504,Twin Lakes Creek-Delaware River
20401040505,Shingle Kill-Delaware River
20401040704,Shimers Brook-Delaware River
20401040705,Hornbecks Creek-Delaware River
20401041001,Little Flat Brook
20401041002,Big Flat Brook
20401041003,Flat Brook
20401041005,Vancampens Brook-Delaware River
20401050101,Headwaters Paulins Kill River
20401050102,Upper Paulins Kill River
20401050103,Middle Paulins Kill River
20401050104,Lower Paulins Kill River
20401050201,Upper Pequest River
20401050202,Middle Pequest River
20401050203,Beaver Brook - 20401050203
20401050204,Lower Pequest River
20401050401,Upper Pohatcong Creek
20401050402,Lower Pohatcong Creek
20401050501,Lake Hopatcong-Upper Musconetcong River
20401050502,Lubbers Run-Musconetcong River
20401050503,Middle Musconetcong River
20401050504,Lower Musconetcong River
20401050601,Allegheny Creek-Delaware River
20401050603,Buckhorn Creek-Delaware River
20401050605,Lopatcong Creek-Delaware River
20401050801,Upper Assunpink Creek
20401050802,Miry Run
20401050803,Lower Assunpink Creek
20401050901,Hakihokake Creek-Delaware River
20401050902,Nishisakawick Creek-Delaware River
20401050904,Harihokake Creek-Delaware River
20401050905,Lockatong Creek-Delaware River
20401050906,Wickecheoke Creek-Delaware River
20401050907,Alexauken Creek-Delaware River
20401050908,Paunnacussing Creek-Delaware River
20401050909,Pidcock Creek-Delaware River
20401050910,Jacobs Creek-Delaware River
20401050911,Buck Creek-Delaware River
20402010101,Jumping Brook
20402010102,Upper Crosswicks Creek
20402010103,Middle Crosswicks Creek
20402010104,Doctors Creek
20402010105,Lower Crosswicks Creek
20402010401,Blacks Creek
20402010402,Crafts Creek
20402010404,Van Sciver Lake-Delaware River
20402010406,Assiscunk Creek
20402010407,Burlington Island-Delaware River
20402020101,Headwaters Mount Misery Brook
20402020102,Mount Misery Brook
20402020103,Gaunts Brook-North Branch Rancocas Creek
20402020104,Powells Run-North Branch Rancocas Creek
20402020201,Friendship Creek
20402020202,Barton Run-Southwest Branch Rancocas Creek
20402020203,Little Creek-Southwest Branch Rancocas Creek
20402020204,Jade Run-South Branch Rancocas Creek
20402020302,Rancocas Creek
20402020305,Swede Run-Delaware River
20402020401,Pennsauken Creek
20402020403,Pompeston Creek-Delaware River
20402020404,Cooper River
20402020405,Petty Island-Delaware River
20402020501,North Branch Big Timber Creek
20402020502,South Branch Big Timber Creek
20402020503,Big Timber Creek
20402020506,Manuta Creek
20402020507,Woodbury Creek-Delaware River
20402020606,Raccoon Creek
20402020607,Repaupo Creek-Delaware River
20402020608,Oldmans Creek-Delaware River
20402040000,Delaware Bay-Deep
20402060101,Game Creek
20402060102,Upper Salem River
20402060103,Salem Canal-Whooping John Creek
20402060104,Mannington Creek
20402060105,Mill Creek-Miles Creek
20402060106,Lower Salem River
20402060201,Upper Alloway Creek
20402060202,Middle Alloway Creek
20402060203,Lower Alloway Creek
20402060301,Upper Cohansey River
20402060302,Middle Cohansey River
20402060303,Lower Cohansey River
20402060401,Scotland Run
20402060402,Reed Branch-Still Run
20402060403,Upper Muddy Run
20402060404,Lower Muddy Run
20402060405,Burnt Mill Branch-Maurice River
20402060501,Mill Creek
20402060502,Union Lake-Maurice River
20402060503,Manantico Creek
20402060504,Buckshutem Creek
20402060505,White Marsh Run-Maurice River
20402060506,Manumuskin River
20402060507,Muskee Creek-Maurice River
20402060601,Upper Stow Creek
20402060602,Mad Horse Creek-Delaware Bay
20402060603,Lower Stow Creek
20402060604,Back Creek
20402060605,Dividing Creek-Oranoaken Creek
20402060701,Fishing Creek-Delaware Bay
20402060702,Dennis Creek
20402060703,West Creek-Delaware Bay
20403010101,Upper Manasquan River
20403010102,Middle Manasquan River
20403010103,Poplar Brook-Sandy Hook-Atlantic Ocean
20403010104,Shark River-Atlantic Ocean
20403010105,Lower Manasquan River-Atlantic Ocean
20403010201,North Branch Metedeconk River
20403010202,South Branch Metedeconk River
20403010203,Cedar Bridge Branch-Metedeconk River
20403010301,Upper Toms River
20403010302,Ridgeway Branch
20403010303,Union Branch
20403010304,Wrangle Brook
20403010305,Middle Toms River
20403010306,Lower Toms River
20403010401,Kettle Creek
20403010402,Upper Cedar Creek
20403010403,Lower Cedar Creek
20403010404,Silver Bay-Barnegat Bay
20403010405,Forked River-Barnegat Bay
