"comid","in_drb","huc08"
6261932,f,"02040301"
6261934,f,"02040301"
6261944,f,"02040301"
6261952,f,"02040301"
6261954,f,"02040301"
6261956,f,"02040301"
6261958,f,"02040301"
6261960,f,"02040301"
6261962,f,"02040301"
6261964,f,"02040301"
6261966,f,"02040301"
6261968,f,"02040301"
6262880,f,"02040301"
6262884,f,"02040301"
6262886,f,"02040301"
6262888,f,"02040301"
6262900,f,"02040301"
6262902,f,"02040301"
6262904,f,"02040301"
6262906,f,"02040301"
6262908,f,"02040301"
6262910,f,"02040301"
6262914,f,"02040301"
6262916,f,"02040301"
6262918,f,"02040301"
6262922,f,"02040301"
6262924,f,"02040301"
6262926,f,"02040301"
6262928,f,"02040301"
6262930,f,"02040301"
6262934,f,"02040301"
6262938,f,"02040301"
6262942,f,"02040301"
6262944,f,"02040301"
6262946,f,"02040301"
6262948,f,"02040301"
6262950,f,"02040301"
6262952,f,"02040301"
6262954,f,"02040301"
6262958,f,"02040301"
6262960,f,"02040301"
6262962,f,"02040301"
6263234,f,"02040301"
6263238,f,"02040301"
6263240,f,"02040301"
6263244,f,"02040301"
6263380,f,"02040301"
6263382,f,"02040301"
6263384,f,"02040301"
6263388,f,"02040301"
6263390,f,"02040301"
6263392,f,"02040301"
6263394,f,"02040301"
6263396,f,"02040301"
6263398,f,"02040301"
6263400,f,"02040301"
6263402,f,"02040301"
6263404,f,"02040301"
6263406,f,"02040301"
6263408,f,"02040301"
6263410,f,"02040301"
6263412,f,"02040301"
6263430,f,"02040301"
6263432,f,"02040301"
6263434,f,"02040301"
6263436,f,"02040301"
6263440,f,"02040301"
6263530,f,"02040301"
6263532,f,"02040301"
6263538,f,"02040301"
6263546,f,"02040301"
6263548,f,"02040301"
6263550,f,"02040301"
6263560,f,"02040301"
6263562,f,"02040301"
9436331,f,"02040301"
9436961,f,"02040301"
9437185,f,"02040301"
9441075,f,"02040301"
9441081,f,"02040301"
9441083,f,"02040301"
9441085,f,"02040301"
9441087,f,"02040301"
9441089,f,"02040301"
9441091,f,"02040301"
9441093,f,"02040301"
9441095,f,"02040301"
9441097,f,"02040301"
9441099,f,"02040301"
9441101,f,"02040301"
9441103,f,"02040301"
9441105,f,"02040301"
9441107,f,"02040301"
9441109,f,"02040301"
9441113,f,"02040301"
9441115,f,"02040301"
9441117,f,"02040301"
9441119,f,"02040301"
9441121,f,"02040301"
9441123,f,"02040301"
9441125,f,"02040301"
9441127,f,"02040301"
9441129,f,"02040301"
9441133,f,"02040301"
9441135,f,"02040301"
9441137,f,"02040301"
9441143,f,"02040301"
9441147,f,"02040301"
9441149,f,"02040301"
9441151,f,"02040301"
9441153,f,"02040301"
9441155,f,"02040301"
9441157,f,"02040301"
9441159,f,"02040301"
9441161,f,"02040301"
9441163,f,"02040301"
9441165,f,"02040301"
9441167,f,"02040301"
9441169,f,"02040301"
9441171,f,"02040301"
9441173,f,"02040301"
9441175,f,"02040301"
9441177,f,"02040301"
9441179,f,"02040301"
9441181,f,"02040301"
9441183,f,"02040301"
9441185,f,"02040301"
9441187,f,"02040301"
9441189,f,"02040301"
9441191,f,"02040301"
9441193,f,"02040301"
9441195,f,"02040301"
9441197,f,"02040301"
9441199,f,"02040301"
9441201,f,"02040301"
9441203,f,"02040301"
9441205,f,"02040301"
9441207,f,"02040301"
9441209,f,"02040301"
9441211,f,"02040301"
9441213,f,"02040301"
9441215,f,"02040301"
9441217,f,"02040301"
9441219,f,"02040301"
9441221,f,"02040301"
9441223,f,"02040301"
9441225,f,"02040301"
9441229,f,"02040301"
9441233,f,"02040301"
9441235,f,"02040301"
9441239,f,"02040301"
9441241,f,"02040301"
9441243,f,"02040301"
9441245,f,"02040301"
9441247,f,"02040301"
9441249,f,"02040301"
9441251,f,"02040301"
9441253,f,"02040301"
9441255,f,"02040301"
9441257,f,"02040301"
9441259,f,"02040301"
9441261,f,"02040301"
9441265,f,"02040301"
9441269,f,"02040301"
9441271,f,"02040301"
9441273,f,"02040301"
9441279,f,"02040301"
9441283,f,"02040301"
9441285,f,"02040301"
9441287,f,"02040301"
9441289,f,"02040301"
9441293,f,"02040301"
9441295,f,"02040301"
9441297,f,"02040301"
9441299,f,"02040301"
9441301,f,"02040301"
9441303,f,"02040301"
9441305,f,"02040301"
9441307,f,"02040301"
9441311,f,"02040301"
9441313,f,"02040301"
9441315,f,"02040301"
9441317,f,"02040301"
9441319,f,"02040301"
9441321,f,"02040301"
9441335,f,"02040301"
9441371,f,"02040301"
9441373,f,"02040301"
9441385,f,"02040301"
9441387,f,"02040301"
9441421,f,"02040301"
9441443,f,"02040301"
9441451,f,"02040301"
9441453,f,"02040301"
9441455,f,"02040301"
9441457,f,"02040301"
9441459,f,"02040301"
9441463,f,"02040301"
9441465,f,"02040301"
9441467,f,"02040301"
9441469,f,"02040301"
9441471,f,"02040301"
9441473,f,"02040301"
9441477,f,"02040301"
9441479,f,"02040301"
9441481,f,"02040301"
9441483,f,"02040301"
9441501,f,"02040301"
9441507,f,"02040301"
9441511,f,"02040301"
9441519,f,"02040301"
9441521,f,"02040301"
9441523,f,"02040301"
9441525,f,"02040301"
9441529,f,"02040301"
9441533,f,"02040301"
9441635,f,"02040301"
9441697,f,"02040301"
9441699,f,"02040301"
9441707,f,"02040301"
9441731,f,"02040301"
9441741,f,"02040301"
9441765,f,"02040301"
9441803,f,"02040301"
9441807,f,"02040301"
9441809,f,"02040301"
9441813,f,"02040301"
9441815,f,"02040301"
9441893,f,"02040301"
9442053,f,"02040301"
9442055,f,"02040301"
9442057,f,"02040301"
9442059,f,"02040301"
9442061,f,"02040301"
9442063,f,"02040301"
9442067,f,"02040301"
9442069,f,"02040301"
9442071,f,"02040301"
9442073,f,"02040301"
9442075,f,"02040301"
9442077,f,"02040301"
9442079,f,"02040301"
9442081,f,"02040301"
9442083,f,"02040301"
9442085,f,"02040301"
9442087,f,"02040301"
9442089,f,"02040301"
9442091,f,"02040301"
9442093,f,"02040301"
9442095,f,"02040301"
9442097,f,"02040301"
9442099,f,"02040301"
9442101,f,"02040301"
9442103,f,"02040301"
9442105,f,"02040301"
9442107,f,"02040301"
9442109,f,"02040301"
9442111,f,"02040301"
9442113,f,"02040301"
9442115,f,"02040301"
9442117,f,"02040301"
9442119,f,"02040301"
9442121,f,"02040301"
9442123,f,"02040301"
9442125,f,"02040301"
9442127,f,"02040301"
9442129,f,"02040301"
9442131,f,"02040301"
9442133,f,"02040301"
9442135,f,"02040301"
9442137,f,"02040301"
9442139,f,"02040301"
9442141,f,"02040301"
9442143,f,"02040301"
9442145,f,"02040301"
9442147,f,"02040301"
9442149,f,"02040301"
9442151,f,"02040301"
9442153,f,"02040301"
9442155,f,"02040301"
9442157,f,"02040301"
9442159,f,"02040301"
9442161,f,"02040301"
9442163,f,"02040301"
9442165,f,"02040301"
9442167,f,"02040301"
9442169,f,"02040301"
9442171,f,"02040301"
9442177,f,"02040301"
9442181,f,"02040301"
9442185,f,"02040301"
9442187,f,"02040301"
9442189,f,"02040301"
9442191,f,"02040301"
9442193,f,"02040301"
9442195,f,"02040301"
9442199,f,"02040301"
9442201,f,"02040301"
9442203,f,"02040301"
9442207,f,"02040301"
9442209,f,"02040301"
9442211,f,"02040301"
9442213,f,"02040301"
9442215,f,"02040301"
9442217,f,"02040301"
9442219,f,"02040301"
9442221,f,"02040301"
9442223,f,"02040301"
9442225,f,"02040301"
9442227,f,"02040301"
9442229,f,"02040301"
9442231,f,"02040301"
9442233,f,"02040301"
9442235,f,"02040301"
9442237,f,"02040301"
9442241,f,"02040301"
9442243,f,"02040301"
9442245,f,"02040301"
9442247,f,"02040301"
9442249,f,"02040301"
9442251,f,"02040301"
9442253,f,"02040301"
9442255,f,"02040301"
9442257,f,"02040301"
9442259,f,"02040301"
9442263,f,"02040301"
9442265,f,"02040301"
9442271,f,"02040301"
9442275,f,"02040301"
9442277,f,"02040301"
9442291,f,"02040301"
9442293,f,"02040301"
9442295,f,"02040301"
9442297,f,"02040301"
9442299,f,"02040301"
9442301,f,"02040301"
9442303,f,"02040301"
9442305,f,"02040301"
9442307,f,"02040301"
9442309,f,"02040301"
9442311,f,"02040301"
9442313,f,"02040301"
9442315,f,"02040301"
9442317,f,"02040301"
9442319,f,"02040301"
9442321,f,"02040301"
9442323,f,"02040301"
9442325,f,"02040301"
9442327,f,"02040301"
9442329,f,"02040301"
9442331,f,"02040301"
9442335,f,"02040301"
9442337,f,"02040301"
9442339,f,"02040301"
9442341,f,"02040301"
9442343,f,"02040301"
9442345,f,"02040301"
9442347,f,"02040301"
9442349,f,"02040301"
9442351,f,"02040301"
9442353,f,"02040301"
9442355,f,"02040301"
9442357,f,"02040301"
9442359,f,"02040301"
9442361,f,"02040301"
9442363,f,"02040301"
9442365,f,"02040301"
9442367,f,"02040301"
9442369,f,"02040301"
9442371,f,"02040301"
9442373,f,"02040301"
9442375,f,"02040301"
9442377,f,"02040301"
9442381,f,"02040301"
9442383,f,"02040301"
9442385,f,"02040301"
9442387,f,"02040301"
9442389,f,"02040301"
9442391,f,"02040301"
9442393,f,"02040301"
9442395,f,"02040301"
9442397,f,"02040301"
9442399,f,"02040301"
9442401,f,"02040301"
9442403,f,"02040301"
9442405,f,"02040301"
9442407,f,"02040301"
9442409,f,"02040301"
9442411,f,"02040301"
9442413,f,"02040301"
