fa_name_phase,catchment_hectares,tp_load,tn_load,tss_load,tn_load_ps,tp_load_ps,tn_load_avoid,tp_load_avoid,tss_load_avoid,tn_load_xsnps,tp_load_xsnps,tss_load_xsnps,tn_load_rem,tp_load_rem,tss_load_rem
Phase 1 Bear Creek,7167.2606,1461.6924999999999,16744.9751,1909422.1397,0.0,0.0,458.1059875809814,177.46530969086956,406304.4901253111,-105600.163342,-760.158286,-4711693.202579999,-105600.163342,-760.158286,-4711693.202579999
Phase 1 Bush Kill/Hornbecks Creek,44484.944,7339.1062,72332.8907,7989250.0018,1018.4879579682896,2270.5554476180228,3790.305767894371,1104.0148848886997,3001218.1398372524,-688043.5913379684,-8721.781887618023,-33105941.2654,-688043.5913379684,-8721.781887618023,-33105941.2654
Phase 1 Cohansey-Maurice,79845.4069,34983.5087,739913.736,28908168.4546,485963.0356615985,43386.25301212375,0.0,0.0,0.0,-1109010.3954445985,-33154.820451123756,-44853018.439619996,-1109440.3604445986,-33199.20315112376,-44904625.48642
Phase 1 Core Pine Barrens,131694.8683,12435.4862,194341.9482,24438372.8911,4984.340006577624,427.2291434209392,5802.761774529804,1032.9182451971576,4577837.5047636125,-2058673.7936875776,-28817.15211642094,-97221346.44443999,-2058673.7936875776,-28817.15211642094,-97221346.44443999
Phase 1 French Creek Headwaters,4599.8253,3123.7215,53199.0641,2511460.7003,1.949996090328,38.1599234907264,237.59779416709637,59.94866506758726,156353.18769754982,-25321.903767090327,1659.6157335092735,-1737857.9118399997,-25321.903767090327,1659.6157335092735,-1737857.9118399997
Phase 1 Greater Hammonton,13335.2687,4075.5193,137888.1237,4900416.7867,0.0,0.0,0.0,0.0,0.0,-89744.913009,-58.413996999999895,-7418704.438359999,-89745.008309,-58.43609699999992,-7418711.750759999
Phase 1 Indian Creek,210.70409999999998,70.5941,3825.2760000000003,163307.4277,0.0,0.0,0.0,0.0,0.0,228.557013,5.275829000000008,-31341.01987999998,228.557013,5.275829000000008,-31341.01987999998
Phase 1 Kittatinny Ridge,5625.4573,1447.1096,11321.0502,1341795.0532,586.4788241310592,124.2597508636704,283.8485507408819,64.51164563204735,129106.60180681029,-85291.98473513106,-421.0419138636704,-3855002.40054,-85291.98473513106,-421.0419138636704,-3855002.40054
Phase 1 Lehigh River Headwaters,1049.9669,97.1734,1419.7665,136015.5892,0.0,0.0,391.84021161649,130.61265663879487,297990.0614225829,-16503.168482999998,-228.316339,-833943.8330199999,-16503.168482999998,-228.316339,-833943.8330199999
Phase 1 Little Buck Run,950.862,1096.8632,13725.1438,899457.786,0.0,0.0,0.0,0.0,0.0,-2506.070539999999,802.0959799999999,21051.470400000086,-2608.8592399999993,746.13808,3934.3656000000988
Phase 1 Lopatcong Creek,2906.3133,32878.2088,66953.834,2988101.8548,36965.675885149874,49199.771356228644,0.0,0.0,0.0,-19622.609916149882,-17222.519679228644,303249.6282600002,-19715.595416149878,-17271.098279228645,283055.54866000015
Phase 1 Lower Musconetcong,4612.059,3702.2963,48151.1609,2796019.9562,274.01945060086075,19.4399610235776,0.0,0.0,0.0,-30850.705680600862,2253.118048976422,-1464600.148,-31308.47428060086,2051.719848976422,-1585829.6618999997
Phase 1 Manatawny Creek,282.40160000000003,723.1913,5062.03,266674.9378,0.0,0.0,0.0,0.0,0.0,241.43468799999982,635.646804,5792.339720000011,241.43468799999982,635.646804,5792.339720000011
Phase 1 Mud Run,2672.608,254.4974,2869.5966,398831.4335,0.0,0.0,0.0,0.0,0.0,-42751.82196,-574.01108,-2070123.8369,-42751.82196,-574.01108,-2070123.8369
Phase 1 Neversink River,21653.0347,4210.9864,110511.8735,4139693.2666,0.0,0.0,0.0,0.0,0.0,-259105.428829,-2501.454357,-15863380.189259999,-259105.428829,-2501.454357,-15863380.189259999
Phase 1 Pennypack Creek,977.6112,575.6474000000001,5460.073,1077056.1357,0.0,0.0,0.0,0.0,0.0,-11227.750184000002,272.58792800000003,173938.90913999992,-11285.451684,244.01572800000002,138384.33274000016
Phase 1 Pigeon Creek,2697.5104,1989.0972,28006.829,1283814.873,0.0,0.0,0.0,0.0,0.0,-18039.673528,1152.868976,-1208145.23452,-18039.673528,1152.868976,-1208145.23452
Phase 1 Rancocas Creek,8971.4573,1569.2889,17859.2695,5075261.2963,16864.48618731198,1445.5271017701712,939.1400838395839,146.08038736577822,459141.12174673274,-152147.99279831199,-2657.389964770171,-3212570.9574399996,-152147.99279831199,-2657.389964770171,-3212570.9574399996
Phase 1 Salem River,16061.2579,12976.6585,93068.7251,10012990.0159,3692.162597346837,3894.422191823627,0.0,0.0,0.0,-184789.10985034684,4103.246359176373,-4824400.03212,-185181.04645034685,4002.468559176373,-4909729.079419999
Phase 1 Sandy/Rapp Run,2844.0778,5610.4751,65847.4763,3479615.8098,49929.989892166755,4484.221009298219,0.0,0.0,0.0,-32630.921638166757,244.58997270178116,852256.7381600002,-33346.473538166756,76.44397270178126,286653.04956000013
