project_na,practice_i,practice_n,rn,comid,practice_t,practice_d,project_st,creator_na,program_id,program_na,created,modified,practice_url,project_url,huc12,area_acres,huc12_tssdevloadrate_lbacre,huc12_tssforeloadrate_lbacre,huc12_tndevloadrate_lbacre,huc12_tnforeloadrate_lbacre,huc12_tpdevloadrate_lbacre,huc12_tpforeloadrate_lbacre,parcel_devtssload_lbyr,parcel_foretssload_lbyr,parcel_tssload_lbyr_avoided,parcel_devtnload_lbyr,parcel_foretnload_lbyr,parcel_tnload_lbyr_avoided,parcel_devtpload_lbyr,parcel_foretpload_lbyr,parcel_tpload_lbyr_avoided
16 Years LLC Project,5337,Easement Acquisition,1,4781715,Conservation easement,,complete,Kersten Appler,5,Delaware River Watershed Protection Fund - Forestland Capital Grants,2019-01-18 16:36:17.047255,2021-07-07 17:30:23.422991,https://www.fielddoc.org/practices/5337,https://www.fielddoc.org/projects/2695,020402030702,40.866,1374.254,278.058,1.9,0.21,0.5,0.08,56160.812,11363.226,44797.586,77.646,8.582,69.064,20.433,3.269,17.164
18 Years LLC Conservation Easement,14230,18 Years LLC - Buffer - Subject,1,4782711,Fee acquisition,"The Subject property consists of 26 acres of contiguous woodlands and a small wooded stream correct which protrudes into the Match property. It is adjacent to the recently conserved 16 Years LLC property, which contains the headwaters to two tributaries",complete,John Dawes,7,Delaware River Watershed Protection Fund - Farm Buffer Capital Grants,2019-07-15 20:20:35.283384,2021-01-05 19:08:29.121430,https://www.fielddoc.org/practices/14230,https://www.fielddoc.org/projects/4937,020402030702,25.497,1374.254,278.058,1.9,0.21,0.5,0.08,35039.294,7089.631,27949.663,48.444,5.354,43.09,12.748,2.04,10.708
Aquashicola Watershed Protection Project,51736,Aquashicola Watershed Protection Project,1,4187321,Conservation easement,,complete,The Academy of Natural Sciences of Drexel University,5,Delaware River Watershed Protection Fund - Forestland Capital Grants,2021-07-08 18:19:29.217777,2021-07-08 18:20:13.085089,https://www.fielddoc.org/practices/51736,https://www.fielddoc.org/projects/6313,020401060502,214.724,922.042,121.516,1.93,0.17,0.45,0.05,197984.646,26092.357,171892.289,414.417,36.503,377.914,96.626,10.736,85.89
Bartolacci,5301,Bartolacci,1,4153052,Conservation easement,"Land Protection 

Shapefile needs to be loaded in on practice level.",complete,Kate Raman,5,Delaware River Watershed Protection Fund - Forestland Capital Grants,2019-01-14 20:29:48.955938,2020-12-21 18:28:07.158142,https://www.fielddoc.org/practices/5301,https://www.fielddoc.org/projects/2677,020401040903,35.737,1415.264,62.402,1.66,0.15,0.55,0.03,50577.893,2230.087,48347.806,59.324,5.361,53.963,19.656,1.072,18.584
Bear Creek - Crystal Lake,5289,Bear Creek,1,4185445,Fee acquisition,Acquisition,complete,Dawn Gorham,5,Delaware River Watershed Protection Fund - Forestland Capital Grants,2019-01-04 19:03:54.420311,2019-11-15 20:56:34.050925,https://www.fielddoc.org/practices/5289,https://www.fielddoc.org/projects/2665,020401060203,84.609,2077.553,108.583,2.43,0.21,0.91,0.05,175779.645,9187.118,166592.527,205.6,17.768,187.832,76.994,4.23,72.764
Bear Creek Addition,51708,Bear Creek Addition,1,4186385,Conservation easement,,complete,The Academy of Natural Sciences of Drexel University,5,Delaware River Watershed Protection Fund - Forestland Capital Grants,2021-07-07 17:26:02.084637,2021-07-07 17:26:45.706220,https://www.fielddoc.org/practices/51708,https://www.fielddoc.org/projects/6294,020401060203,143.686,2077.553,108.583,2.43,0.21,0.91,0.05,298515.977,15601.928,282914.049,349.158,30.174,318.984,130.755,7.184,123.571
Bear Creek Ten Mile Run,13944,Bear Creek Ten Mile Run - Subject,1,4185401,Fee acquisition,Fee Acquisition,complete,Rylan Coker,5,Delaware River Watershed Protection Fund - Forestland Capital Grants,2019-06-04 14:59:45.214382,2019-11-15 20:56:34.050925,https://www.fielddoc.org/practices/13944,https://www.fielddoc.org/projects/4874,020401060203,0.854,2077.553,108.583,2.43,0.21,0.91,0.05,1774.219,92.729,1681.49,2.075,0.179,1.896,0.777,0.043,0.734
Bear Swamp,51709,Bear Swamp,1,4491384,Conservation easement,,complete,The Academy of Natural Sciences of Drexel University,5,Delaware River Watershed Protection Fund - Forestland Capital Grants,2021-07-07 17:37:46.360763,2021-07-07 17:39:01.314864,https://www.fielddoc.org/practices/51709,https://www.fielddoc.org/projects/6295,020402020203,225.905,958.312,210.517,1.92,0.21,0.3,0.04,216488.083,47557.065,168931.018,433.739,47.44,386.299,67.772,9.036,58.736
Beaver Run Forest,51713,Beaver Run Forest,1,4782709,Conservation easement,,complete,The Academy of Natural Sciences of Drexel University,5,Delaware River Watershed Protection Fund - Forestland Capital Grants,2021-07-07 19:06:23.945013,2021-07-07 19:07:01.018214,https://www.fielddoc.org/practices/51713,https://www.fielddoc.org/projects/6299,020402030702,5.017,1374.254,278.058,1.9,0.21,0.5,0.08,6894.895,1395.07,5499.825,9.533,1.054,8.479,2.509,0.401,2.108
Black Run Headwaters,51737,Black Run Headwaters,1,4491552,Conservation easement,,complete,The Academy of Natural Sciences of Drexel University,6,Delaware River Watershed Protection Fund - Transaction Grants,2021-07-08 18:23:08.818756,2021-07-08 18:23:50.557038,https://www.fielddoc.org/practices/51737,https://www.fielddoc.org/projects/6316,020402020202,64.165,1663.083,493.576,2.49,0.36,0.44,0.1,106711.304,31670.202,75041.102,159.77,23.099,136.671,28.232,6.416,21.816
