"gid","huc12","area_sqkm","tss_hay_pas_kg","tss_crop_kg","tss_wooded_kg","tss_wetland_kg","tss_open_land_kg","tss_barren_kg","tss_dev_ld_kg","tss_dev_md_kg","tss_dev_hd_kg","tss_dev_os_kg","tss_farm_animal_kg","tss_streambank_eros_kg","tss_subsurface_kg","tss_pt_source_kg","tss_septic_kg","tn_hay_pas_kg","tn_crop_kg","tn_wooded_kg","tn_wetland_kg","tn_open_land_kg","tn_barren_kg","tn_dev_ld_kg","tn_dev_md_kg","tn_dev_hd_kg","tn_dev_os_kg","tn_farm_animal_kg","tn_streambank_eros_kg","tn_subsurface_kg","tn_pt_source_kg","tn_septic_kg","tp_hay_pas_kg","tp_crop_kg","tp_wooded_kg","tp_wetland_kg","tp_open_land_kg","tp_barren_kg","tp_dev_ld_kg","tp_dev_md_kg","tp_dev_hd_kg","tp_dev_os_kg","tp_farm_animal_kg","tp_streambank_eros_kg","tp_subsurface_kg","tp_pt_source_kg","tp_septic_kg","tss_hay_pas_lb_acre","tss_crop_lb_acre","tss_wooded_lb_acre","tss_wetland_lb_acre","tss_open_land_lb_acre","tss_barren_lb_acre","tss_dev_ld_lb_acre","tss_dev_md_lb_acre","tss_dev_hd_lb_acre","tss_dev_os_lb_acre","tn_hay_pas_lb_acre","tn_crop_lb_acre","tn_wooded_lb_acre","tn_wetland_lb_acre","tn_open_land_lb_acre","tn_barren_lb_acre","tn_dev_ld_lb_acre","tn_dev_md_lb_acre","tn_dev_hd_lb_acre","tn_dev_os_lb_acre","tp_hay_pas_lb_acre","tp_crop_lb_acre","tp_wooded_lb_acre","tp_wetland_lb_acre","tp_open_land_lb_acre","tp_barren_lb_acre","tp_dev_ld_lb_acre","tp_dev_md_lb_acre","tp_dev_hd_lb_acre","tp_dev_os_lb_acre"
325,"020402031005",54.86,72381.60,752464.80,2435.80,164.00,397.20,4.80,17031.10,38503.90,14936.40,26896.30,0.00,3535006.00,0.00,0.00,0.00,443.60,3120.00,116.70,26.40,7.30,4.00,427.70,817.40,317.10,675.40,860.50,2103.00,22375.70,2203.50,1885.70,168.80,927.30,8.30,1.50,0.50,0.10,45.90,83.80,32.50,72.50,227.80,888.00,378.10,128.60,0.00,189.621014211712,1863.88244604865,2.4651684432802,2.75550529733484,57.9041566911608,0.643011783293694,12.7873187075781,61.76261272264,68.4539999228605,12.6777455422765,1.16211691789509,7.72835251784774,0.118107052028409,0.443569145424633,1.06420026144379,0.535843152744745,0.321126422323347,1.3111596393998,1.45327946329364,0.318354172851044,0.44221220861292,2.29695554160263,0.00840007310913278,0.0252027923536723,0.0728904288660131,0.0133960788186186,0.0344627140159964,0.134420330048572,0.148948541649458,0.0341733454718696
181,"020401060204",142.92,5095.90,5405.50,8655.60,586.00,860.10,18.50,1449.10,3503.50,253.80,7846.60,0.00,2307858.00,0.00,0.00,0.00,113.30,96.50,1558.60,231.50,55.60,49.50,32.70,62.80,4.50,177.20,554.50,1798.00,17701.80,0.00,151.50,56.00,21.80,93.60,13.00,2.40,1.70,3.60,6.40,0.50,19.20,136.80,869.00,718.50,0.00,0.00,48.4799978486862,197.004606617617,0.637340032300875,0.563604891714929,12.6690280386352,0.178570904602618,11.9014670951819,60.400939103239,89.8551555386571,11.4119890438744,1.07788295615223,3.51696319278513,0.114764796703191,0.222652785720147,0.818972164804227,0.477797825828627,0.268565298469705,1.08268273888495,1.59317651664286,0.257717286286359,0.532757683535082,0.794505674639542,0.00689207299590576,0.0125031801916281,0.0353513164663695,0.0164092182607811,0.0295668218498757,0.110337094408657,0.177019612960317,0.0279242206359937
465,"020403020107",52.01,840.50,59579.00,2096.40,647.30,185.30,6.40,1059.30,3650.20,772.20,6251.60,0.00,463536.00,0.00,0.00,0.00,20.00,828.80,30.60,661.00,7.30,4.40,23.90,71.30,15.10,141.20,122.50,384.00,19517.70,0.00,181.60,4.70,95.80,2.50,35.10,0.20,0.20,2.60,7.30,1.50,15.30,33.50,68.00,287.70,0.00,0.00,11.9540303340261,147.395179723363,0.955266344755713,0.279013329258021,13.5065964688722,0.428674522195796,10.6284868992879,56.4505327749673,112.571978340671,9.83537938318241,0.284450454111271,2.05040576301588,0.0139434984494967,0.284918601327903,0.532100130721895,0.29471373400961,0.239800657880657,1.10265820690789,2.20129095175359,0.222144022155185,0.0668458567161486,0.237003947993389,0.0011391747099262,0.0151295656680929,0.0145780857732026,0.0133960788186186,0.0260871008573099,0.112894879529139,0.218671286598039,0.0240708465933026
290,"020402030406",80.52,99470.00,1620216.10,7201.40,178.80,135.60,0.00,4970.50,9045.30,3727.50,12337.00,0.00,2131572.00,0.00,0.00,0.00,1001.90,8259.80,193.80,28.70,2.50,0.00,119.00,193.90,79.90,295.30,13902.80,1623.00,100615.10,257.00,441.20,355.60,2090.50,16.40,1.70,0.20,0.00,12.80,19.90,8.20,31.90,3463.40,545.00,1008.40,992.00,0.00,46.6749924484103,1019.38064916909,2.05973012156312,2.14843876442311,40.7338222113778,0,13.0076703348148,62.8800478865061,68.3014307011768,11.9888142383218,0.470128430019727,5.19676374405048,0.0554302909932697,0.344855662969482,0.750992297407407,0,0.311419931564825,1.34793111175898,1.46406017787365,0.286965781354983,0.166860634509447,1.3152660605508,0.0046906954194511,0.0204269904894815,0.0600793837925926,0,0.0334972699498299,0.138338468922144,0.150253985714192,0.030999689892394
410,"020402070401",53.98,33580.10,903158.10,898.60,1231.80,1031.40,0.00,1062.10,2381.40,618.20,3128.80,0.00,455186.00,0.00,0.00,0.00,307.60,6100.10,26.40,260.00,24.10,0.00,25.50,47.70,12.40,75.10,7440.80,186.00,52691.90,0.00,119.40,85.60,960.10,1.80,14.30,1.10,0.00,2.70,4.90,1.30,8.10,2387.10,67.00,517.00,0.00,0.00,32.2748529270361,339.801694588684,1.27092454780196,1.09978875238161,24.4018367856974,0,11.4691739997915,61.7985663691288,72.9556831547122,10.807004195712,0.295643692554707,2.295084678043,0.0373385355686308,0.232135960074054,0.570180595826359,0,0.275363842382716,1.23783976476335,1.46336213380529,0.259398496259899,0.0822727570958482,0.361225356861213,0.00254580924331574,0.012767477804073,0.0260248404734023,0,0.0291561715464052,0.127157543969401,0.153416997898942,0.0279777339508014
127,"020401040903",74.80,35987.90,5087.90,7995.90,218.30,381.10,0.00,361.70,506.80,39.60,4301.70,0.00,675611.00,0.00,0.00,0.00,124.30,45.80,737.20,176.50,11.20,0.00,7.70,9.10,0.70,92.10,139.30,540.00,9327.70,0.00,22.60,50.20,11.00,47.70,9.50,0.70,0.00,0.80,0.90,0.10,10.10,36.80,217.00,244.20,0.00,0.00,951.337576635355,504.368529717248,1.11316662785561,0.366598232173012,29.5147013433899,0,16.9932116797811,66.1047135724234,0,10.5630852286347,3.28586165838447,4.54019903320622,0.10263090309473,0.296402143740433,0.867396103505556,0,0.361757616627909,1.1869630890076,0,0.226157135448138,1.32703342921079,1.09044081583556,0.00664065935650928,0.0159536564619497,0.0542122564690972,0,0.0375852069223802,0.117391953857895,0,0.0248011625192855
72,"020401030302",108.60,135841.30,19699.90,7850.50,594.70,77.30,9.70,954.20,1086.60,250.20,5249.60,0.00,1182369.00,0.00,0.00,0.00,2009.20,695.20,1305.70,243.40,3.70,7.40,21.50,21.40,4.90,118.40,2763.40,1025.00,12201.20,5.50,48.30,906.10,128.40,78.20,13.50,0.20,0.30,2.30,2.20,0.50,12.90,603.70,410.00,505.30,22.80,0.00,82.7307343860341,119.077466895116,0.900091120927568,0.731610768719291,17.0285000129472,0.616391370256695,16.1970520932486,89.0212614941333,59.0537428835619,10.6792121836657,1.22365283259524,4.2021865585858,0.149703710157968,0.29943511199979,0.815076973452839,0.470236715453561,0.364951393842846,1.75322565431111,1.15652813800741,0.240860012676398,0.551837463475287,0.776123064042602,0.0089659417433967,0.0166079458175726,0.0440582147812346,0.0190636506264957,0.0390413118994673,0.180238151377778,0.118013075306878,0.0262423493541008
441,"020403010503",115.67,12.80,6166.70,790.60,125.20,653.10,2.60,2369.10,773.50,170.30,3140.90,0.00,1280169.00,0.00,0.00,0.00,0.70,870.40,18.80,1243.00,39.50,6.00,62.00,15.20,3.30,82.20,693.20,867.00,16426.80,0.00,38.20,0.10,80.00,1.30,65.50,1.10,0.20,6.60,1.50,0.30,8.80,178.20,164.00,565.90,0.00,0.00,0.755283681964021,11.1289101484751,0.111749041626052,0.028635501600927,3.78610790442425,0.0574032419755506,10.4008508607618,106.496966041515,62.5259498103687,12.0402360910423,0.0413045763574074,1.57079205948607,0.0026573260594103,0.284296553434123,0.228986774191943,0.132469019943578,0.272193133834465,2.09276520210864,1.21160090648395,0.315103125436556,0.00590065376534392,0.144374270173352,0.000183751270065606,0.0149810331857885,0.00637684687623132,0.00441563399811928,0.0289753981178624,0.206522881787037,0.110145536953086,0.0337336679299476
104,"020401040501",60.91,5432.80,6502.60,6073.10,128.70,5.40,0.00,136.40,96.80,34.20,1655.40,0.00,253732.00,0.00,0.00,0.00,97.30,113.80,1004.00,177.80,1.50,0.00,2.90,2.00,0.70,35.40,456.20,220.00,7114.30,0.00,6.40,36.50,19.30,58.30,9.50,0.00,0.00,0.30,0.20,0.10,3.90,105.20,68.00,186.20,0.00,0.00,64.1905608871103,266.367409806622,1.03527372132138,0.283577629368215,4.11774853532308,0,19.3163801662298,95.9587917935289,0,10.4790184983988,1.14963583682739,4.66161400608889,0.171150617675762,0.391764588202554,1.14381903758974,0,0.410685502067937,1.98261966515556,0,0.224089195870072,0.431261130978413,0.790590073088889,0.00993832769969811,0.0209323036441184,0,0,0.0424847071104762,0.198261966515556,0,0.024687792765347
106,"020401040503",50.45,1795.10,0.00,2131.00,281.50,2.40,5.70,240.80,303.10,23.30,2278.90,0.00,333828.00,0.00,0.00,0.00,35.10,2.50,719.90,77.40,5.70,5.60,5.20,5.50,0.40,49.50,377.60,299.00,5338.40,0.00,14.30,12.70,0.30,39.80,4.30,0.10,0.20,0.60,0.60,0.00,5.40,86.80,91.00,139.70,0.00,0.00,52.6479372917269,0,0.438619918862017,1.12794550473179,0.355096059430846,0.491344873538551,14.2938567475886,120.18640410173,0,9.44833114789418,1.02943713383077,1.37681921191358,0.148175729511387,0.310134927411156,0.843353141148259,0.482724788037874,0.308671325114039,2.18088163167111,0,0.205227255176077,0.372474404548455,0.16521830542963,0.00819196282060453,0.0172297181895087,0.0147956691429519,0.0172401710013527,0.0356159221285429,0.237914359818667,0,0.0223884278373902
