huc8,name,to_huc,to_huc
02040102,East Branch Delaware,02040101,Upper Delaware
02040101,Upper Delaware,02040104,Middle Delaware-Mongaup-Brodhead
02040103,Lackawaxen,02040104,Middle Delaware-Mongaup-Brodhead
02040104,Middle Delaware-Mongaup-Brodhead,02040105,Middle Delaware-Musconetcong
02040106,Lehigh,02040105,Middle Delaware-Musconetcong
02040105,Middle Delaware-Musconetcong,02040201,Crosswicks-Neshaminy
02040201,Crosswicks-Neshaminy,02040202,Lower Delaware
02040203,Schuylkill,02040202,Lower Delaware
02040202,Lower Delaware,02040204,Delaware Bay
02040205,Brandywine-Christina,02040204,Delaware Bay
02040206,Cohansey-Maurice,02040204,Delaware Bay
02040207,Broadkill-Smyrna,02040204,Delaware Bay
02040204,Delaware Bay,-,Atlantic Ocean (Chincoteague?)
02040301,Mullica-Toms,-,Atlantic Ocean
02040302,Great Egg Harbor,-,Atlantic Ocean
02040303,Chincoteague,-,Atlantic Ocean
02040304,Eastern Lower Delmarva,-,Atlantic Ocean
