,Source,Sediment,TotalN,TotalP,comid,huc,gwlfe_endpoint,huc_level
0,TotalLoadingRates,30060.1291789457,413.591250075195,39.3490024248019,2612780,020401010101,wikiSRAT,12
1,TotalLoadingRates,62416.8437396361,941.392349412942,70.1166755497866,2612782,020401010101,wikiSRAT,12
2,TotalLoadingRates,24783.1440451501,475.462391625033,56.3734370709496,2612792,020401010101,wikiSRAT,12
3,TotalLoadingRates,504556.037459683,10732.3398741735,1024.81669405862,2612794,020401010101,wikiSRAT,12
4,TotalLoadingRates,729581.146092744,9437.27702941042,925.627843375327,2612920,020401010101,wikiSRAT,12
5,TotalLoadingRates,9158.81732871031,256.175662608746,24.309884847231,2612948,020401010101,wikiSRAT,12
6,TotalLoadingRates,20574.2096411213,218.044115168293,23.2678862105796,2612950,020401010101,wikiSRAT,12
7,TotalLoadingRates,2681.97265974268,16.3452976612778,1.21542570484992,2612952,020401010101,wikiSRAT,12
8,TotalLoadingRates,201838.120418377,5417.54821793483,463.485679815358,2612790,020401010102,wikiSRAT,12
9,TotalLoadingRates,219850.098286992,4231.68074709288,379.524617635103,2612800,020401010102,wikiSRAT,12
10,TotalLoadingRates,353136.703047927,8750.0251140066,677.01561836494,2612922,020401010102,wikiSRAT,12
11,TotalLoadingRates,4475.66597956074,83.3248829033028,4.20594451263085,2612956,020401010102,wikiSRAT,12
12,TotalLoadingRates,28462.998326079,476.097055761591,31.816983439115,2612958,020401010102,wikiSRAT,12
13,TotalLoadingRates,260887.033410517,20032.1938369364,702.143859235927,2612808,020401010103,wikiSRAT,12
14,TotalLoadingRates,87423.0084082501,5803.91370901179,220.055637225753,2612924,020401010103,wikiSRAT,12
15,TotalLoadingRates,371801.243826664,13846.4322500818,689.4337962577,2612926,020401010103,wikiSRAT,12
16,TotalLoadingRates,143584.484096315,2965.47711552041,208.830084695228,2612796,020401010104,wikiSRAT,12
17,TotalLoadingRates,84547.8820371666,3683.61022609136,237.072800766939,2612798,020401010104,wikiSRAT,12
18,TotalLoadingRates,176841.624246932,6451.98047620078,340.997695527601,2612806,020401010104,wikiSRAT,12
19,TotalLoadingRates,135605.747446263,4529.88868971728,296.553078065987,2612810,020401010104,wikiSRAT,12
20,TotalLoadingRates,151641.565080056,4800.49980839313,229.354645121828,2612820,020401010104,wikiSRAT,12
21,TotalLoadingRates,216259.648352514,7986.86834906579,375.844986594949,2612928,020401010104,wikiSRAT,12
22,TotalLoadingRates,28972.6128023747,315.039251879788,34.0040797044001,2612828,020401010105,wikiSRAT,12
23,TotalLoadingRates,128624.937012688,1022.46966342993,112.699422653528,2612830,020401010105,wikiSRAT,12
24,TotalLoadingRates,353806.332847365,3370.13658175592,370.497940024297,2612842,020401010105,wikiSRAT,12
25,TotalLoadingRates,19489.8425211781,118.587996279892,14.2631851802013,2612848,020401010105,wikiSRAT,12
26,TotalLoadingRates,252951.812310775,3526.87354242702,377.934778024788,2612930,020401010105,wikiSRAT,12
27,TotalLoadingRates,590566.410943432,9273.38343067811,934.249047628709,2612932,020401010105,wikiSRAT,12
28,TotalLoadingRates,521889.295046802,5555.35021912972,586.078713908657,2612934,020401010105,wikiSRAT,12
29,TotalLoadingRates,78494.6395367375,837.296980221614,90.9256314909378,2612936,020401010105,wikiSRAT,12
30,TotalLoadingRates,120957.453424729,1462.48194099609,150.936048320026,2612942,020401010105,wikiSRAT,12
31,TotalLoadingRates,17244.2525369395,275.457600269415,21.7007010652918,2612962,020401010105,wikiSRAT,12
32,TotalLoadingRates,47058.9136259169,747.977464370357,105.452583208052,2612788,020401010106,wikiSRAT,12
33,TotalLoadingRates,218111.311507259,3386.84378460572,375.613060523827,2612802,020401010106,wikiSRAT,12
34,TotalLoadingRates,142417.252467944,1788.39361252392,218.169069422121,2612804,020401010106,wikiSRAT,12
35,TotalLoadingRates,326888.147452361,4224.71789074231,475.500006753987,2612812,020401010106,wikiSRAT,12
36,TotalLoadingRates,6231.98397292918,32.8507448724926,5.14260521399614,2612814,020401010106,wikiSRAT,12
37,TotalLoadingRates,144971.124613281,2091.06585181827,250.225356276151,2612816,020401010106,wikiSRAT,12
38,TotalLoadingRates,16450.1823830781,204.438949340977,22.0858894656635,2612818,020401010106,wikiSRAT,12
39,TotalLoadingRates,351997.520976926,1174.49468345239,182.556789210766,2612822,020401010106,wikiSRAT,12
40,TotalLoadingRates,347318.930929957,4049.33997114582,494.187021624145,2612824,020401010106,wikiSRAT,12
41,TotalLoadingRates,172475.131535572,683.042942532207,90.213928057382,2612826,020401010106,wikiSRAT,12
42,TotalLoadingRates,15125.8366325694,223.954470353456,25.4026582342015,2612954,020401010106,wikiSRAT,12
43,TotalLoadingRates,12872.2826653849,237.353067168701,24.4955058321858,2612960,020401010106,wikiSRAT,12
44,TotalLoadingRates,264715.047364361,3062.07898088198,343.508380373437,2612832,020401010201,wikiSRAT,12
45,TotalLoadingRates,84436.7765457853,1142.76118460362,143.593347307984,2612834,020401010201,wikiSRAT,12
46,TotalLoadingRates,117.335188562932,5.60358074143756,0.605646299416071,2612838,020401010201,wikiSRAT,12
47,TotalLoadingRates,93176.9772896084,31808.218330423,146.809825850904,2612840,020401010201,wikiSRAT,12
48,TotalLoadingRates,7789.91618147206,132.188788280961,10.0025055918789,2612844,020401010201,wikiSRAT,12
49,TotalLoadingRates,7108.85833883247,77.4529892601528,10.6390758206256,2612846,020401010201,wikiSRAT,12
50,TotalLoadingRates,146139.341980999,1012.58499322844,137.300898153752,2612938,020401010201,wikiSRAT,12
51,TotalLoadingRates,63878.5738648685,724.291066793153,70.8174663893606,2612940,020401010201,wikiSRAT,12
52,TotalLoadingRates,196579.843007306,3531.14965816499,385.302683577225,2612944,020401010201,wikiSRAT,12
53,TotalLoadingRates,58642.9236860273,1407.99170223542,142.856777251402,2613316,020401010201,wikiSRAT,12
54,TotalLoadingRates,43633.5606250973,1559.82935155068,143.884671952246,2613318,020401010201,wikiSRAT,12
55,TotalLoadingRates,25315.9037263544,572.760066326576,56.3331194669952,2613322,020401010201,wikiSRAT,12
56,TotalLoadingRates,26589.6666028011,553.349405735885,71.054236181516,2613328,020401010201,wikiSRAT,12
57,TotalLoadingRates,72633.9047848342,1895.17626796124,183.596415548887,2613330,020401010201,wikiSRAT,12
58,TotalLoadingRates,29846.1321238304,614.156452184071,82.4302011247503,2613332,020401010201,wikiSRAT,12
59,TotalLoadingRates,34910.4502664074,646.626826301744,53.4862700136728,2613334,020401010201,wikiSRAT,12
60,TotalLoadingRates,1712.96702983562,13.8713014277969,2.46367699705145,932040215,020401010201,wikiSRAT,12
61,TotalLoadingRates,25990.0860632965,314.940250598968,38.71358247647,932040217,020401010201,wikiSRAT,12
62,TotalLoadingRates,37858.6310165981,1948.86415176657,83.6136105305639,2612850,020401010202,wikiSRAT,12
