,Source,Sediment,TotalN,TotalP,huc,gwlfe_endpoint,huc_level
0,Barren Areas,1.93154496820926,1.07385939665146,0.0372406351059309,020401010101,wikisrat,12
1,Wooded Areas,9142.98940533207,660.160605634889,41.1951531610005,020401010101,wikisrat,12
2,Wetlands,123.025040711256,49.3227721170034,2.62020344323432,020401010101,wikisrat,12
3,Subsurface Flow,,15462.2893477123,493.551754179845,020401010101,wikisrat,12
4,Stream Bank Erosion,1135087.6619987,1047.72819326192,283.24924962834,020401010101,wikisrat,12
5,Point Sources,,0.0,0.0,020401010101,wikisrat,12
6,Open Land,990.435064402207,16.0922145490129,1.23219309630414,020401010101,wikisrat,12
7,Septic Systems,,197.982571184775,0.0,020401010101,wikisrat,12
8,Low-Density Open Space,8468.77921814198,212.008425133091,22.1298790612338,020401010101,wikisrat,12
9,Low-Density Mixed,3316.76657472799,82.6890265883477,8.7066902738807,020401010101,wikisrat,12
10,High-Density Mixed,2302.81690579089,47.5087508448509,4.80513941996454,020401010101,wikisrat,12
11,Hay/Pasture,195975.464261103,2383.22877485017,823.231529415872,020401010101,wikisrat,12
12,Farm Animals,,1964.32869728254,415.555726717986,020401010101,wikisrat,12
13,Cropland,11487.2137690908,179.70189455696,28.9329716565845,020401010101,wikisrat,12
14,Medium-Density Mixed,7418.33828033364,153.163040760462,15.4662605922828,020401010101,wikisrat,12
15,Point Sources,,0.0,0.0,020401010102,wikisrat,12
16,Wooded Areas,7455.33978890151,562.059019134042,35.8490633949069,020401010102,wikisrat,12
17,Wetlands,120.506873679965,43.8461190747855,2.39641613031827,020401010102,wikisrat,12
18,Subsurface Flow,,14262.917368851,407.98094319206,020401010102,wikisrat,12
19,Stream Bank Erosion,622132.484365485,568.280787146879,164.92064801815,020401010102,wikisrat,12
20,Septic Systems,,59.604887619681,0.0,020401010102,wikisrat,12
21,Open Land,1246.97288193613,19.9759306637571,1.63328246567464,020401010102,wikisrat,12
22,Hay/Pasture,147076.902370782,1591.32944772229,575.412778773036,020401010102,wikisrat,12
23,Low-Density Open Space,5402.73573715225,130.531469948944,13.9401208953264,020401010102,wikisrat,12
24,Low-Density Mixed,1620.88133409168,39.1500947213899,4.18346601158061,020401010102,wikisrat,12
25,High-Density Mixed,243.963902704142,4.48782566883845,0.454219187843908,020401010102,wikisrat,12
26,Farm Animals,,1443.99539945937,307.043941510798,020401010102,wikisrat,12
27,Cropland,19678.0985435314,185.509067085955,35.902488096203,020401010102,wikisrat,12
28,Barren Areas,0.913757082307334,0.643391566051605,0.0221948196480762,020401010102,wikisrat,12
29,Medium-Density Mixed,2262.20677878213,41.6349825614508,4.20954079852932,020401010102,wikisrat,12
30,Point Sources,,0.0,0.0,020401010103,wikisrat,12
31,Wooded Areas,12415.2767225041,570.870683541905,40.7788561094033,020401010103,wikisrat,12
32,Wetlands,73.7673168921807,28.1586458477487,1.53899025419108,020401010103,wikisrat,12
33,Subsurface Flow,,35180.5985398254,546.285925490953,020401010103,wikisrat,12
34,Stream Bank Erosion,562724.752873968,550.898980434856,152.143581239229,020401010103,wikisrat,12
35,Septic Systems,,37.0531880788333,0.0,020401010103,wikisrat,12
36,Open Land,1364.01735551592,17.0304798194814,1.71401965894136,020401010103,wikisrat,12
37,Hay/Pasture,110670.99922772,1316.06399077799,476.307147394463,020401010103,wikisrat,12
38,Low-Density Open Space,4252.52451971559,100.564676893822,10.7799103571329,020401010103,wikisrat,12
39,Low-Density Mixed,1021.43774432671,24.1554592110272,2.58925593999114,020401010103,wikisrat,12
40,High-Density Mixed,142.95345125276,2.61284630549677,0.264018199912632,020401010103,wikisrat,12
41,Farm Animals,,1463.878692848,311.522704464468,020401010103,wikisrat,12
42,Cropland,25027.3578254252,352.901923992318,61.1687611133669,020401010103,wikisrat,12
43,Barren Areas,17.7226350701846,4.28335389081016,0.158923757399744,020401010103,wikisrat,12
44,Medium-Density Mixed,1472.47648759702,26.9124098170076,2.71959428072285,020401010103,wikisrat,12
45,Wooded Areas,10721.1404325006,591.531496664401,40.2956077113048,020401010104,wikisrat,12
46,Wetlands,89.4110680078197,33.3271190893803,1.81531161211059,020401010104,wikisrat,12
47,Subsurface Flow,,25355.2733185177,504.344847791426,020401010104,wikisrat,12
48,Stream Bank Erosion,726660.630752566,667.806161723208,195.189634806338,020401010104,wikisrat,12
49,Septic Systems,,70.8723373754497,0.0,020401010104,wikisrat,12
50,Point Sources,,0.0,0.0,020401010104,wikisrat,12
51,Open Land,2114.18849528965,51.8753539572695,3.15330438314889,020401010104,wikisrat,12
52,Medium-Density Mixed,2762.46172296607,52.1068199705664,5.25765311446303,020401010104,wikisrat,12
53,Low-Density Mixed,1836.07830608955,44.8203165973925,4.77034815351283,020401010104,wikisrat,12
54,High-Density Mixed,398.914825025346,7.51850021691155,0.759903120501313,020401010104,wikisrat,12
55,Hay/Pasture,119227.7947027,1347.17651608032,490.970734925132,020401010104,wikisrat,12
56,Farm Animals,,1570.88370130494,332.943815362922,020401010104,wikisrat,12
57,Cropland,36393.2355660714,474.579707573989,84.2388986822514,020401010104,wikisrat,12
58,Barren Areas,1.89407299746582,0.600872579908774,0.0216742504517295,020401010104,wikisrat,12
59,Low-Density Open Space,5569.90260942143,135.99783232379,14.4675746446454,020401010104,wikisrat,12
60,Point Sources,,0.0,0.0,020401010105,wikisrat,12
61,Wooded Areas,20649.7840416799,1229.12589656607,82.5952544826996,020401010105,wikisrat,12
