,Source,Unit,Sediment,TotalN,TotalP,huc,land_use_source,stream_layer,weather_source
0,Loading Rates,kg/ha,165.11963561303986,2.6768612687443643,0.25879638679264305,020401010101,2019_2019,nhdhr,NASA_NLDAS_2000_2019
1,Mean Annual Concentration,mg/l,37.448678880297216,0.6071047679346752,0.05869430821111572,020401010101,2019_2019,nhdhr,NASA_NLDAS_2000_2019
2,Mean Low-Flow Concentration,mg/l,84.65318590826296,1.1242418836037247,0.1920495714016148,020401010101,2019_2019,nhdhr,NASA_NLDAS_2000_2019
3,Total Loads,kg,1387599.3698377418,22495.27135802014,2174.8213160506552,020401010101,2019_2019,nhdhr,NASA_NLDAS_2000_2019
4,Loading Rates,kg/ha,125.024437453681,2.927537318369112,0.24138419158401403,020401010102,2019_2019,nhdhr,NASA_NLDAS_2000_2019
5,Mean Annual Concentration,mg/l,27.813052515122568,0.6512626717952403,0.053698551527847124,020401010102,2019_2019,nhdhr,NASA_NLDAS_2000_2019
6,Mean Low-Flow Concentration,mg/l,61.54209295319838,0.9975199392471933,0.15515944548560662,020401010102,2019_2019,nhdhr,NASA_NLDAS_2000_2019
7,Total Loads,kg,809833.2911624734,18962.830226004087,1563.5419625662926,020401010102,2019_2019,nhdhr,NASA_NLDAS_2000_2019
8,Loading Rates,kg/ha,109.19641664074955,6.009155322326801,0.24480465183060252,020401010103,2019_2019,nhdhr,NASA_NLDAS_2000_2019
9,Mean Annual Concentration,mg/l,24.431814813108947,1.3444998886850708,0.054773060352247084,020401010103,2019_2019,nhdhr,NASA_NLDAS_2000_2019
10,Mean Low-Flow Concentration,mg/l,56.391327759208615,1.556509320125485,0.15668824659262956,020401010103,2019_2019,nhdhr,NASA_NLDAS_2000_2019
11,Total Loads,kg,721209.5729871585,39688.668157371816,1616.8612839455805,020401010103,2019_2019,nhdhr,NASA_NLDAS_2000_2019
12,Loading Rates,kg/ha,128.34467997660326,4.290774233330058,0.23893656355484003,020401010104,2019_2019,nhdhr,NASA_NLDAS_2000_2019
13,Mean Annual Concentration,mg/l,28.924190613844424,0.9669833749901828,0.05384755106434488,020401010104,2019_2019,nhdhr,NASA_NLDAS_2000_2019
14,Mean Low-Flow Concentration,mg/l,65.82667239377705,1.2809457383674683,0.15686796962660246,020401010104,2019_2019,nhdhr,NASA_NLDAS_2000_2019
15,Total Loads,kg,910002.2844381101,30422.876546580108,1694.1319165728821,020401010104,2019_2019,nhdhr,NASA_NLDAS_2000_2019
16,Loading Rates,kg/ha,157.22790058822397,1.91444257558297,0.20063772997447302,020401010105,2019_2019,nhdhr,NASA_NLDAS_2000_2019
17,Mean Annual Concentration,mg/l,35.71825454527305,0.43491356795552233,0.045579884255929175,020401010105,2019_2019,nhdhr,NASA_NLDAS_2000_2019
18,Mean Low-Flow Concentration,mg/l,80.02881407573993,0.82683328668369,0.14355184312362096,020401010105,2019_2019,nhdhr,NASA_NLDAS_2000_2019
19,Total Loads,kg,2115595.7391549065,25759.97352001421,2699.701039444519,020401010105,2019_2019,nhdhr,NASA_NLDAS_2000_2019
20,Loading Rates,kg/ha,203.82500660387734,2.128075814553174,0.25709635931132346,020401010106,2019_2019,nhdhr,NASA_NLDAS_2000_2019
21,Mean Annual Concentration,mg/l,45.72081841091723,0.4773573640595656,0.057670332772393695,020401010106,2019_2019,nhdhr,NASA_NLDAS_2000_2019
22,Mean Low-Flow Concentration,mg/l,95.88318471180638,0.9455300652669473,0.16480200908841952,020401010106,2019_2019,nhdhr,NASA_NLDAS_2000_2019
23,Total Loads,kg,1805196.5534879002,18847.516259171643,2276.9996158766676,020401010106,2019_2019,nhdhr,NASA_NLDAS_2000_2019
24,Loading Rates,kg/ha,153.16735068480608,6.3410561642842085,0.26257197041747204,020401010201,2019_2019,nhdhr,NASA_NLDAS_2000_2019
25,Mean Annual Concentration,mg/l,27.082227553389114,1.1211914628161088,0.046426564278839705,020401010201,2019_2019,nhdhr,NASA_NLDAS_2000_2019
26,Mean Low-Flow Concentration,mg/l,38.679226367197856,2.820083566237462,0.0720058266950088,020401010201,2019_2019,nhdhr,NASA_NLDAS_2000_2019
27,Total Loads,kg,1185729.7285913578,49088.65219018977,2032.6746517898182,020401010201,2019_2019,nhdhr,NASA_NLDAS_2000_2019
28,Loading Rates,kg/ha,148.99568254535464,4.567641742261291,0.2637488708142331,020401010202,2019_2019,nhdhr,NASA_NLDAS_2000_2019
29,Mean Annual Concentration,mg/l,26.306563447721768,0.8064593231597994,0.046567298366028506,020401010202,2019_2019,nhdhr,NASA_NLDAS_2000_2019
30,Mean Low-Flow Concentration,mg/l,37.00754328656769,0.9043284458065644,0.07102782730027205,020401010202,2019_2019,nhdhr,NASA_NLDAS_2000_2019
31,Total Loads,kg,1160154.8821394038,35565.94242611754,2053.680582595026,020401010202,2019_2019,nhdhr,NASA_NLDAS_2000_2019
32,Loading Rates,kg/ha,154.74815672551983,2.398506584264467,0.2660208876734751,020401010203,2019_2019,nhdhr,NASA_NLDAS_2000_2019
33,Mean Annual Concentration,mg/l,27.578560993000284,0.4274516835995494,0.04740911576173327,020401010203,2019_2019,nhdhr,NASA_NLDAS_2000_2019
34,Mean Low-Flow Concentration,mg/l,39.562571086273195,0.5468639050167834,0.07557505153528295,020401010203,2019_2019,nhdhr,NASA_NLDAS_2000_2019
35,Total Loads,kg,1002427.6096365721,15537.045951548358,1723.2301061712367,020401010203,2019_2019,nhdhr,NASA_NLDAS_2000_2019
36,Loading Rates,kg/ha,136.19636723007187,5.7882626495511476,0.26133221261925016,020401010204,2019_2019,nhdhr,NASA_NLDAS_2000_2019
37,Mean Annual Concentration,mg/l,24.020508019123643,1.0208569598296755,0.046090307961532774,020401010204,2019_2019,nhdhr,NASA_NLDAS_2000_2019
38,Mean Low-Flow Concentration,mg/l,32.727797614889134,1.1336869814324886,0.06951874067295265,020401010204,2019_2019,nhdhr,NASA_NLDAS_2000_2019
39,Total Loads,kg,782025.9209983496,33235.62530745773,1500.5434316384724,020401010204,2019_2019,nhdhr,NASA_NLDAS_2000_2019
40,Loading Rates,kg/ha,223.2036431279222,4.109951628789125,0.3087610471050661,020401010205,2019_2019,nhdhr,NASA_NLDAS_2000_2019
41,Mean Annual Concentration,mg/l,39.195713707675466,0.7217287546784704,0.05422003618227827,020401010205,2019_2019,nhdhr,NASA_NLDAS_2000_2019
42,Mean Low-Flow Concentration,mg/l,55.876221120795144,1.2407019930730547,0.09153151340323457,020401010205,2019_2019,nhdhr,NASA_NLDAS_2000_2019
43,Total Loads,kg,2822677.91172433,51975.270287993044,3904.653953900087,020401010205,2019_2019,nhdhr,NASA_NLDAS_2000_2019
44,Loading Rates,kg/ha,175.6266365326064,2.512125437144838,0.2722763625470856,020401010206,2019_2019,nhdhr,NASA_NLDAS_2000_2019
45,Mean Annual Concentration,mg/l,29.09863238085358,0.4162205462295993,0.04511200542340692,020401010206,2019_2019,nhdhr,NASA_NLDAS_2000_2019
46,Mean Low-Flow Concentration,mg/l,39.200396895568105,0.5077753996900035,0.06654678712597153,020401010206,2019_2019,nhdhr,NASA_NLDAS_2000_2019
47,Total Loads,kg,2199319.68130687,31458.593211733663,3409.635205268389,020401010206,2019_2019,nhdhr,NASA_NLDAS_2000_2019
48,Loading Rates,kg/ha,128.3490596384161,4.317772104698458,0.22494759439876907,020401010207,2019_2019,nhdhr,NASA_NLDAS_2000_2019
49,Mean Annual Concentration,mg/l,18.912653937372685,0.6362378487747132,0.03314676413597209,020401010207,2019_2019,nhdhr,NASA_NLDAS_2000_2019
50,Mean Low-Flow Concentration,mg/l,22.455618003509503,0.6856589668135389,0.03956514668196804,020401010207,2019_2019,nhdhr,NASA_NLDAS_2000_2019
51,Total Loads,kg,1588678.9903923867,53444.519557536565,2784.356333949084,020401010207,2019_2019,nhdhr,NASA_NLDAS_2000_2019
52,Loading Rates,kg/ha,89.65106309559417,2.2225074792378274,0.20812336752875782,020401010301,2019_2019,nhdhr,NASA_NLDAS_2000_2019
53,Mean Annual Concentration,mg/l,15.625033925066356,0.3873546343201299,0.03627324167665903,020401010301,2019_2019,nhdhr,NASA_NLDAS_2000_2019
54,Mean Low-Flow Concentration,mg/l,21.107083958582205,0.4717903149979621,0.056024821310094765,020401010301,2019_2019,nhdhr,NASA_NLDAS_2000_2019
55,Total Loads,kg,712878.3584172361,17672.712722655433,1654.9345815784236,020401010301,2019_2019,nhdhr,NASA_NLDAS_2000_2019
56,Loading Rates,kg/ha,126.72187190257583,6.276702135799403,0.29192577549428195,020401010302,2019_2019,nhdhr,NASA_NLDAS_2000_2019
57,Mean Annual Concentration,mg/l,22.059644389381063,1.092643400661358,0.05081821076987464,020401010302,2019_2019,nhdhr,NASA_NLDAS_2000_2019
58,Mean Low-Flow Concentration,mg/l,29.834147196392898,1.2082460727155546,0.07880701972942815,020401010302,2019_2019,nhdhr,NASA_NLDAS_2000_2019
59,Total Loads,kg,1139166.2674682052,56424.41384976872,2624.266758805847,020401010302,2019_2019,nhdhr,NASA_NLDAS_2000_2019
60,Loading Rates,kg/ha,122.06742157617423,3.157350963965321,0.27821858232851754,020401010303,2019_2019,nhdhr,NASA_NLDAS_2000_2019
61,Mean Annual Concentration,mg/l,21.28290271872403,0.5504957223415249,0.04850843038856244,020401010303,2019_2019,nhdhr,NASA_NLDAS_2000_2019
62,Mean Low-Flow Concentration,mg/l,28.2665836956149,0.6766040968846084,0.07633604930605443,020401010303,2019_2019,nhdhr,NASA_NLDAS_2000_2019
63,Total Loads,kg,1027417.0739223433,26574.791593503316,2341.7101637426667,020401010303,2019_2019,nhdhr,NASA_NLDAS_2000_2019
64,Loading Rates,kg/ha,179.1750267653972,4.8288432020264755,0.3992523114175546,020401010304,2019_2019,nhdhr,NASA_NLDAS_2000_2019
65,Mean Annual Concentration,mg/l,31.053803731848966,0.8369132225326549,0.0691966014576434,020401010304,2019_2019,nhdhr,NASA_NLDAS_2000_2019
66,Mean Low-Flow Concentration,mg/l,40.79697650146969,1.062979586906353,0.11440836018128313,020401010304,2019_2019,nhdhr,NASA_NLDAS_2000_2019
67,Total Loads,kg,1006103.6102930586,27114.92034801907,2241.8815790718527,020401010304,2019_2019,nhdhr,NASA_NLDAS_2000_2019
68,Loading Rates,kg/ha,133.23313921403857,2.4537748659395344,0.2323995696019502,020401010305,2019_2019,nhdhr,NASA_NLDAS_2000_2019
69,Mean Annual Concentration,mg/l,22.685078448701745,0.4177945191238555,0.03956975343345553,020401010305,2019_2019,nhdhr,NASA_NLDAS_2000_2019
70,Mean Low-Flow Concentration,mg/l,30.121125827727166,0.5427386209687588,0.06293337378521767,020401010305,2019_2019,nhdhr,NASA_NLDAS_2000_2019
71,Total Loads,kg,1243238.391947958,22896.909406541577,2168.590103826678,020401010305,2019_2019,nhdhr,NASA_NLDAS_2000_2019
72,Loading Rates,kg/ha,79.04900067709701,2.242267510253405,0.20746292830497298,020401010306,2019_2019,nhdhr,NASA_NLDAS_2000_2019
73,Mean Annual Concentration,mg/l,13.606971387118717,0.38596907731844166,0.03571129432571719,020401010306,2019_2019,nhdhr,NASA_NLDAS_2000_2019
74,Mean Low-Flow Concentration,mg/l,18.2786343466084,0.4695770884874832,0.055838548807587096,020401010306,2019_2019,nhdhr,NASA_NLDAS_2000_2019
75,Total Loads,kg,369024.449860892,10467.57741811597,968.4991882061054,020401010306,2019_2019,nhdhr,NASA_NLDAS_2000_2019
76,Loading Rates,kg/ha,156.36655856626848,2.401639198701596,0.2664755665431115,020401010307,2019_2019,nhdhr,NASA_NLDAS_2000_2019
77,Mean Annual Concentration,mg/l,27.30242136107216,0.419338802116245,0.0465280317409244,020401010307,2019_2019,nhdhr,NASA_NLDAS_2000_2019
78,Mean Low-Flow Concentration,mg/l,37.32284308781335,0.5374555327476243,0.07496006300916935,020401010307,2019_2019,nhdhr,NASA_NLDAS_2000_2019
79,Total Loads,kg,1449580.5445327351,22264.156027643276,2470.335092081261,020401010307,2019_2019,nhdhr,NASA_NLDAS_2000_2019
80,Loading Rates,kg/ha,157.88995244231867,2.5316110969586534,0.2998999759130884,020401010401,2019_2019,nhdhr,NASA_NLDAS_2000_2019
81,Mean Annual Concentration,mg/l,27.565638602447756,0.4419880777796993,0.05235883743725307,020401010401,2019_2019,nhdhr,NASA_NLDAS_2000_2019
82,Mean Low-Flow Concentration,mg/l,38.13263709381169,0.594656380822882,0.08726461955567494,020401010401,2019_2019,nhdhr,NASA_NLDAS_2000_2019
83,Total Loads,kg,920135.2758481004,14753.469989745945,1747.7270896287052,020401010401,2019_2019,nhdhr,NASA_NLDAS_2000_2019
84,Loading Rates,kg/ha,135.04398224527674,2.2965593016909565,0.24029231071593649,020401010402,2019_2019,nhdhr,NASA_NLDAS_2000_2019
85,Mean Annual Concentration,mg/l,23.535065147903186,0.40023755137160244,0.04187743202779818,020401010402,2019_2019,nhdhr,NASA_NLDAS_2000_2019
86,Mean Low-Flow Concentration,mg/l,32.76636312104163,0.5052424419195197,0.07167097708797944,020401010402,2019_2019,nhdhr,NASA_NLDAS_2000_2019
87,Total Loads,kg,1183525.4603976053,20127.04572001954,2105.9218111144673,020401010402,2019_2019,nhdhr,NASA_NLDAS_2000_2019
88,Loading Rates,kg/ha,77.77584610109118,3.6214178899260956,0.2932749393967652,020401010403,2019_2019,nhdhr,NASA_NLDAS_2000_2019
89,Mean Annual Concentration,mg/l,12.877295172505947,0.5995957543291545,0.04855733689354173,020401010403,2019_2019,nhdhr,NASA_NLDAS_2000_2019
90,Mean Low-Flow Concentration,mg/l,16.5651818228675,1.0080889113073053,0.09270189467573378,020401010403,2019_2019,nhdhr,NASA_NLDAS_2000_2019
91,Total Loads,kg,430458.1978310992,20043.099453584968,1623.1594795853364,020401010403,2019_2019,nhdhr,NASA_NLDAS_2000_2019
92,Loading Rates,kg/ha,111.71123447838036,2.5130191638665873,0.17496157854699915,020401010404,2019_2019,nhdhr,NASA_NLDAS_2000_2019
93,Mean Annual Concentration,mg/l,19.010003785057968,0.42764278848133686,0.02977337316115561,020401010404,2019_2019,nhdhr,NASA_NLDAS_2000_2019
94,Mean Low-Flow Concentration,mg/l,25.522648961968567,0.48346396429877536,0.04178910115466993,020401010404,2019_2019,nhdhr,NASA_NLDAS_2000_2019
95,Total Loads,kg,647467.1439132447,14565.207771854353,1014.0598131005523,020401010404,2019_2019,nhdhr,NASA_NLDAS_2000_2019
96,Loading Rates,kg/ha,150.46932915592342,2.3487120950193807,0.2682551498265143,020401010405,2019_2019,nhdhr,NASA_NLDAS_2000_2019
97,Mean Annual Concentration,mg/l,26.39462967081545,0.4120001484632207,0.04705607034123755,020401010405,2019_2019,nhdhr,NASA_NLDAS_2000_2019
98,Mean Low-Flow Concentration,mg/l,36.08159823675049,0.5171644264796831,0.07739889707376553,020401010405,2019_2019,nhdhr,NASA_NLDAS_2000_2019
99,Total Loads,kg,955013.7852197303,14907.040795878507,1702.5886104339036,020401010405,2019_2019,nhdhr,NASA_NLDAS_2000_2019
100,Loading Rates,kg/ha,139.7800604450486,2.3401470241185263,0.19005959811209377,020401010406,2019_2019,nhdhr,NASA_NLDAS_2000_2019
101,Mean Annual Concentration,mg/l,23.481222380172174,0.3931141001132091,0.03192752724921512,020401010406,2019_2019,nhdhr,NASA_NLDAS_2000_2019
102,Mean Low-Flow Concentration,mg/l,30.9545391530584,0.47505887757182813,0.04817504687914156,020401010406,2019_2019,nhdhr,NASA_NLDAS_2000_2019
103,Total Loads,kg,1274318.8990533298,21334.184360078954,1732.6973321487137,020401010406,2019_2019,nhdhr,NASA_NLDAS_2000_2019
104,Loading Rates,kg/ha,162.2327716442558,2.3118196757071043,0.2281582963840588,020401010501,2019_2019,nhdhr,NASA_NLDAS_2000_2019
105,Mean Annual Concentration,mg/l,28.195494426375834,0.4017862613117329,0.039653122540090145,020401010501,2019_2019,nhdhr,NASA_NLDAS_2000_2019
106,Mean Low-Flow Concentration,mg/l,38.649179424829924,0.47925953660858484,0.057985085358358765,020401010501,2019_2019,nhdhr,NASA_NLDAS_2000_2019
107,Total Loads,kg,1719505.1466574667,24502.97674281959,2418.2497833746384,020401010501,2019_2019,nhdhr,NASA_NLDAS_2000_2019
108,Loading Rates,kg/ha,148.05930455389458,2.234675654876569,0.23593230320106529,020401010502,2019_2019,nhdhr,NASA_NLDAS_2000_2019
109,Mean Annual Concentration,mg/l,26.50668953796246,0.4000684319052346,0.042238374222882055,020401010502,2019_2019,nhdhr,NASA_NLDAS_2000_2019
110,Mean Low-Flow Concentration,mg/l,37.790326400272605,0.46066677142996,0.059399523158503026,020401010502,2019_2019,nhdhr,NASA_NLDAS_2000_2019
111,Total Loads,kg,1377751.0525958107,20794.55083888843,2195.4444542071933,020401010502,2019_2019,nhdhr,NASA_NLDAS_2000_2019
112,Loading Rates,kg/ha,145.0198138204264,2.18495490526766,0.23576641097260997,020401010503,2019_2019,nhdhr,NASA_NLDAS_2000_2019
113,Mean Annual Concentration,mg/l,25.95455348758031,0.39104676431968194,0.04219569562915506,020401010503,2019_2019,nhdhr,NASA_NLDAS_2000_2019
114,Mean Low-Flow Concentration,mg/l,36.6948826480494,0.44383259452021,0.05753007597135489,020401010503,2019_2019,nhdhr,NASA_NLDAS_2000_2019
115,Total Loads,kg,1235945.8652659662,18621.496675634156,2009.3428141551658,020401010503,2019_2019,nhdhr,NASA_NLDAS_2000_2019
116,Loading Rates,kg/ha,164.02945288793967,2.245175702535614,0.2789805087610396,020401010504,2019_2019,nhdhr,NASA_NLDAS_2000_2019
117,Mean Annual Concentration,mg/l,30.084995256198667,0.4117925114720833,0.05116841600625051,020401010504,2019_2019,nhdhr,NASA_NLDAS_2000_2019
118,Mean Low-Flow Concentration,mg/l,43.04191340569806,0.48027266891014503,0.071847624201061,020401010504,2019_2019,nhdhr,NASA_NLDAS_2000_2019
119,Total Loads,kg,1020131.9734006744,13963.196729209489,1735.0355800866573,020401010504,2019_2019,nhdhr,NASA_NLDAS_2000_2019
