,Source,Sediment,TotalN,TotalP,huc,land_use_source,stream_layer,weather_source
0,Barren Areas,1.938703564570097,1.0742200175901708,0.03751767677030261,020401010101,2019_2019,nhdhr,NASA_NLDAS_2000_2019
1,Cropland,11507.279379231135,179.73038777691949,29.03421898269916,020401010101,2019_2019,nhdhr,NASA_NLDAS_2000_2019
2,Farm Animals,0.0,1965.57338541962,421.3270066988505,020401010101,2019_2019,nhdhr,NASA_NLDAS_2000_2019
3,Hay/Pasture,197354.2798832667,2384.7557104644306,834.7929232420245,020401010101,2019_2019,nhdhr,NASA_NLDAS_2000_2019
4,High-Density Mixed,2316.2655197339286,47.533957774822035,4.861303370451667,020401010101,2019_2019,nhdhr,NASA_NLDAS_2000_2019
5,Low-Density Mixed,3346.7295024322893,82.75687478227016,8.864144010227474,020401010101,2019_2019,nhdhr,NASA_NLDAS_2000_2019
6,Low-Density Open Space,8584.316787405898,212.2702862452394,22.73641182464182,020401010101,2019_2019,nhdhr,NASA_NLDAS_2000_2019
7,Medium-Density Mixed,7467.959520521462,153.2560362739952,15.673512590938998,020401010101,2019_2019,nhdhr,NASA_NLDAS_2000_2019
8,Open Land,1033.0109930304914,16.12303125593395,1.285161501008361,020401010101,2019_2019,nhdhr,NASA_NLDAS_2000_2019
9,Point Sources,0.0,0.0,0.0,020401010101,2019_2019,nhdhr,NASA_NLDAS_2000_2019
10,Septic Systems,0.0,198.20405484,0.0,020401010101,2019_2019,nhdhr,NASA_NLDAS_2000_2019
11,Stream Bank Erosion,1146598.0,1069.0,289.0,020401010101,2019_2019,nhdhr,NASA_NLDAS_2000_2019
12,Subsurface Flow,0.0,15474.644582059474,502.2145513373843,020401010101,2019_2019,nhdhr,NASA_NLDAS_2000_2019
13,Wetlands,124.90372187991758,49.39086054713997,2.7007204781892393,020401010101,2019_2019,nhdhr,NASA_NLDAS_2000_2019
14,Wooded Areas,9264.685826675497,660.9579705627034,42.293844337469,020401010101,2019_2019,nhdhr,NASA_NLDAS_2000_2019
15,Barren Areas,0.9162340603162157,0.6435498047540721,0.022315412691031943,020401010102,2019_2019,nhdhr,NASA_NLDAS_2000_2019
16,Cropland,19723.962522722722,185.54829401033606,36.07021767678734,020401010102,2019_2019,nhdhr,NASA_NLDAS_2000_2019
17,Farm Animals,0.0,1444.3923580980018,308.9100287768863,020401010102,2019_2019,nhdhr,NASA_NLDAS_2000_2019
18,Hay/Pasture,147525.9957842307,1591.770146128828,578.9358729955878,020401010102,2019_2019,nhdhr,NASA_NLDAS_2000_2019
19,High-Density Mixed,244.5233982003383,4.48875948052978,0.45630708421638905,020401010102,2019_2019,nhdhr,NASA_NLDAS_2000_2019
20,Low-Density Mixed,1625.7401320525228,39.16073929652091,4.208610028004552,020401010102,2019_2019,nhdhr,NASA_NLDAS_2000_2019
21,Low-Density Open Space,5420.576951610542,130.57056085018425,14.032436098699598,020401010102,2019_2019,nhdhr,NASA_NLDAS_2000_2019
22,Medium-Density Mixed,2268.6337499698047,41.64571295824852,4.233515725785387,020401010102,2019_2019,nhdhr,NASA_NLDAS_2000_2019
23,Open Land,1255.8067902515581,19.982326009273404,1.6448531002601832,020401010102,2019_2019,nhdhr,NASA_NLDAS_2000_2019
24,Point Sources,0.0,0.0,0.0,020401010102,2019_2019,nhdhr,NASA_NLDAS_2000_2019
25,Septic Systems,0.0,59.62235796000001,0.0,020401010102,2019_2019,nhdhr,NASA_NLDAS_2000_2019
26,Stream Bank Erosion,624163.0,572.0,166.0,020401010102,2019_2019,nhdhr,NASA_NLDAS_2000_2019
27,Subsurface Flow,0.0,14266.895424115166,410.4962233043661,020401010102,2019_2019,nhdhr,NASA_NLDAS_2000_2019
28,Wetlands,120.9456978648579,43.860595104855875,2.413920997949347,020401010102,2019_2019,nhdhr,NASA_NLDAS_2000_2019
29,Wooded Areas,7483.189901509949,562.2494021873882,36.11766136505849,020401010102,2019_2019,nhdhr,NASA_NLDAS_2000_2019
30,Barren Areas,17.77133284890431,4.28442171554277,0.15979906527211898,020401010103,2019_2019,nhdhr,NASA_NLDAS_2000_2019
31,Cropland,25107.113118727328,353.00393363105513,61.55957260793302,020401010103,2019_2019,nhdhr,NASA_NLDAS_2000_2019
32,Farm Animals,0.0,1464.2471422032681,313.2550264445877,020401010103,2019_2019,nhdhr,NASA_NLDAS_2000_2019
33,Hay/Pasture,110975.51464271908,1316.39252978051,478.9341134246855,020401010103,2019_2019,nhdhr,NASA_NLDAS_2000_2019
34,High-Density Mixed,143.37585535171635,2.61354669856735,0.2655820795336023,020401010103,2019_2019,nhdhr,NASA_NLDAS_2000_2019
35,Low-Density Mixed,1024.2912823986867,24.16158149882262,2.6037552474022783,020401010103,2019_2019,nhdhr,NASA_NLDAS_2000_2019
36,Low-Density Open Space,4264.3531694904,100.59005520687518,10.840014098172707,020401010103,2019_2019,nhdhr,NASA_NLDAS_2000_2019
37,Medium-Density Mixed,1476.7713101226786,26.919530995243704,2.735495419196104,020401010103,2019_2019,nhdhr,NASA_NLDAS_2000_2019
38,Open Land,1371.1828118253818,17.034529684151714,1.7230237474377703,020401010103,2019_2019,nhdhr,NASA_NLDAS_2000_2019
39,Point Sources,0.0,0.0,0.0,020401010103,2019_2019,nhdhr,NASA_NLDAS_2000_2019
40,Septic Systems,0.0,37.062546839999996,0.0,020401010103,2019_2019,nhdhr,NASA_NLDAS_2000_2019
41,Stream Bank Erosion,564305.0,554.0,153.0,020401010103,2019_2019,nhdhr,NASA_NLDAS_2000_2019
42,Subsurface Flow,0.0,35189.17616032203,549.2284300263857,020401010103,2019_2019,nhdhr,NASA_NLDAS_2000_2019
43,Wetlands,73.97068122717856,28.16568882165159,1.547494575223779,020401010103,2019_2019,nhdhr,NASA_NLDAS_2000_2019
44,Wooded Areas,12450.228782447319,571.0164899740926,41.00897720975023,020401010103,2019_2019,nhdhr,NASA_NLDAS_2000_2019
45,Barren Areas,1.9019269362623499,0.6010984780800886,0.021854532395314256,020401010104,2019_2019,nhdhr,NASA_NLDAS_2000_2019
46,Cropland,36554.05896212034,474.7698521488677,84.98560704384096,020401010104,2019_2019,nhdhr,NASA_NLDAS_2000_2019
47,Farm Animals,0.0,1571.579472213839,336.20631984701083,020401010104,2019_2019,nhdhr,NASA_NLDAS_2000_2019
48,Hay/Pasture,119814.21347770542,1347.777277924865,495.8146197285733,020401010104,2019_2019,nhdhr,NASA_NLDAS_2000_2019
49,High-Density Mixed,400.3924403534794,7.521026324864525,0.7655464572177957,020401010104,2019_2019,nhdhr,NASA_NLDAS_2000_2019
50,Low-Density Mixed,1844.273006156307,44.83845687207312,4.813046609768129,020401010104,2019_2019,nhdhr,NASA_NLDAS_2000_2019
51,Low-Density Open Space,5596.188588585667,136.05602849452515,14.604517023241918,020401010104,2019_2019,nhdhr,NASA_NLDAS_2000_2019
52,Medium-Density Mixed,2775.1338107258402,52.128492803371365,5.3060288931302395,020401010104,2019_2019,nhdhr,NASA_NLDAS_2000_2019
53,Open Land,2133.9040320559625,51.89722349523532,3.182710033893777,020401010104,2019_2019,nhdhr,NASA_NLDAS_2000_2019
54,Point Sources,0.0,0.0,0.0,020401010104,2019_2019,nhdhr,NASA_NLDAS_2000_2019
55,Septic Systems,0.0,70.90226351999999,0.0,020401010104,2019_2019,nhdhr,NASA_NLDAS_2000_2019
56,Stream Bank Erosion,730021.0,674.0,197.0,020401010104,2019_2019,nhdhr,NASA_NLDAS_2000_2019
57,Subsurface Flow,0.0,25365.67977219855,508.92325081652604,020401010104,2019_2019,nhdhr,NASA_NLDAS_2000_2019
58,Wetlands,89.87949815825834,33.342946526666076,1.8343930004706337,020401010104,2019_2019,nhdhr,NASA_NLDAS_2000_2019
59,Wooded Areas,10771.338695312537,591.782635579169,40.674022586813265,020401010104,2019_2019,nhdhr,NASA_NLDAS_2000_2019
60,Barren Areas,1.0759259235291438,0.7510112951406622,0.02608313008189646,020401010105,2019_2019,nhdhr,NASA_NLDAS_2000_2019
61,Cropland,992.5325590356822,12.794594399039356,2.320997998584731,020401010105,2019_2019,nhdhr,NASA_NLDAS_2000_2019
62,Farm Animals,0.0,2999.8428610228075,642.0509014504635,020401010105,2019_2019,nhdhr,NASA_NLDAS_2000_2019
63,Hay/Pasture,134856.23247610303,1827.141319204494,687.9092559228112,020401010105,2019_2019,nhdhr,NASA_NLDAS_2000_2019
64,High-Density Mixed,309.85793425695573,5.759084828103839,0.5859189012182554,020401010105,2019_2019,nhdhr,NASA_NLDAS_2000_2019
65,Low-Density Mixed,2402.4095938681803,55.76204875713721,6.022035167398861,020401010105,2019_2019,nhdhr,NASA_NLDAS_2000_2019
66,Low-Density Open Space,12012.047969340902,278.81024378568605,30.110175836994298,020401010105,2019_2019,nhdhr,NASA_NLDAS_2000_2019
67,Medium-Density Mixed,2436.6101193842424,45.28734887554382,4.607453177761736,020401010105,2019_2019,nhdhr,NASA_NLDAS_2000_2019
68,Open Land,1959.0053339069173,62.71571502271933,3.2650458345176605,020401010105,2019_2019,nhdhr,NASA_NLDAS_2000_2019
69,Point Sources,0.0,0.0,0.0,020401010105,2019_2019,nhdhr,NASA_NLDAS_2000_2019
70,Septic Systems,0.0,61.23377303999999,0.0,020401010105,2019_2019,nhdhr,NASA_NLDAS_2000_2019
71,Stream Bank Erosion,1939808.0,1856.0,535.0,020401010105,2019_2019,nhdhr,NASA_NLDAS_2000_2019
72,Subsurface Flow,0.0,17293.736112733106,702.7128196911148,020401010105,2019_2019,nhdhr,NASA_NLDAS_2000_2019
73,Wetlands,64.15951039130275,30.45207467546538,1.6605800414644756,020401010105,2019_2019,nhdhr,NASA_NLDAS_2000_2019
74,Wooded Areas,20753.807732695634,1229.6873323749674,83.42977229210788,020401010105,2019_2019,nhdhr,NASA_NLDAS_2000_2019
75,Barren Areas,1.8738920364189455,0.775991311137123,0.027614726077711513,020401010106,2019_2019,nhdhr,NASA_NLDAS_2000_2019
76,Cropland,11019.725321817155,165.8316313771813,28.056727539854574,020401010106,2019_2019,nhdhr,NASA_NLDAS_2000_2019
77,Farm Animals,0.0,1975.7591787654546,422.73960951301086,020401010106,2019_2019,nhdhr,NASA_NLDAS_2000_2019
78,Hay/Pasture,193021.1737045379,2248.9672888195255,808.326688842994,020401010106,2019_2019,nhdhr,NASA_NLDAS_2000_2019
79,High-Density Mixed,3797.2954309931824,82.10547285213073,8.41881093702992,020401010106,2019_2019,nhdhr,NASA_NLDAS_2000_2019
80,Low-Density Mixed,3948.435310478936,98.5849382558077,10.54665026547319,020401010106,2019_2019,nhdhr,NASA_NLDAS_2000_2019
81,Low-Density Open Space,9216.006963322427,230.10620815616934,24.616840506002198,020401010106,2019_2019,nhdhr,NASA_NLDAS_2000_2019
82,Medium-Density Mixed,8783.642966640797,189.92074023371657,19.47381519777628,020401010106,2019_2019,nhdhr,NASA_NLDAS_2000_2019
83,Open Land,1418.716464985436,47.23600903939436,2.340996323317297,020401010106,2019_2019,nhdhr,NASA_NLDAS_2000_2019
84,Point Sources,0.0,0.0,0.0,020401010106,2019_2019,nhdhr,NASA_NLDAS_2000_2019
85,Septic Systems,0.0,243.32367707999992,0.0,020401010106,2019_2019,nhdhr,NASA_NLDAS_2000_2019
86,Stream Bank Erosion,1565138.0,1502.0,415.0,020401010106,2019_2019,nhdhr,NASA_NLDAS_2000_2019
87,Subsurface Flow,0.0,11375.83271640815,493.6871800935216,020401010106,2019_2019,nhdhr,NASA_NLDAS_2000_2019
88,Wetlands,116.11043512192758,43.42401616196711,2.385205268984644,020401010106,2019_2019,nhdhr,NASA_NLDAS_2000_2019
89,Wooded Areas,8735.572997965954,643.6483907110086,41.379476662625,020401010106,2019_2019,nhdhr,NASA_NLDAS_2000_2019
90,Barren Areas,5.607960930032326,2.070232251515995,0.07426398935704986,020401010201,2019_2019,nhdhr,NASA_NLDAS_2000_2019
91,Cropland,18126.95311866471,192.85985215844207,35.356792725953945,020401010201,2019_2019,nhdhr,NASA_NLDAS_2000_2019
92,Farm Animals,0.0,1780.330730639471,382.3564689035482,020401010201,2019_2019,nhdhr,NASA_NLDAS_2000_2019
93,Hay/Pasture,156791.19368644548,2032.4944751680332,727.6569492848057,020401010201,2019_2019,nhdhr,NASA_NLDAS_2000_2019
94,High-Density Mixed,1429.8944105390253,32.120828116385,3.300963952315448,020401010201,2019_2019,nhdhr,NASA_NLDAS_2000_2019
95,Low-Density Mixed,1779.0903761684206,41.62312134006773,4.499758111962019,020401010201,2019_2019,nhdhr,NASA_NLDAS_2000_2019
96,Low-Density Open Space,6172.90448700861,144.4196179829623,15.612797085443974,020401010201,2019_2019,nhdhr,NASA_NLDAS_2000_2019
97,Medium-Density Mixed,2660.8469900465343,59.772671451359905,6.1426633547435285,020401010201,2019_2019,nhdhr,NASA_NLDAS_2000_2019
98,Open Land,1194.5135194594413,36.75115027513452,1.9196587221419408,020401010201,2019_2019,nhdhr,NASA_NLDAS_2000_2019
99,Point Sources,0.0,30389.949069245547,17.369965173844797,020401010201,2019_2019,nhdhr,NASA_NLDAS_2000_2019
100,Septic Systems,0.0,75.73650876,0.0,020401010201,2019_2019,nhdhr,NASA_NLDAS_2000_2019
101,Stream Bank Erosion,985397.0,1006.0,264.0,020401010201,2019_2019,nhdhr,NASA_NLDAS_2000_2019
102,Subsurface Flow,0.0,12430.482755164752,518.4593659196055,020401010201,2019_2019,nhdhr,NASA_NLDAS_2000_2019
103,Wetlands,132.77942438955327,53.42931354199982,2.9260573026563694,020401010201,2019_2019,nhdhr,NASA_NLDAS_2000_2019
104,Wooded Areas,12038.94461770612,810.6118640941089,52.99894726343982,020401010201,2019_2019,nhdhr,NASA_NLDAS_2000_2019
105,Barren Areas,2.8452798894743694,1.6137386637850855,0.056523504190482736,020401010202,2019_2019,nhdhr,NASA_NLDAS_2000_2019
106,Cropland,12622.15967915056,122.04605279894281,23.593242405454518,020401010202,2019_2019,nhdhr,NASA_NLDAS_2000_2019
107,Farm Animals,0.0,1789.2273044344954,384.1270192782948,020401010202,2019_2019,nhdhr,NASA_NLDAS_2000_2019
108,Hay/Pasture,130553.22295168269,1662.0119884134078,609.9704385756711,020401010202,2019_2019,nhdhr,NASA_NLDAS_2000_2019
109,High-Density Mixed,446.20415718206544,8.628109629262775,0.880141434071182,020401010202,2019_2019,nhdhr,NASA_NLDAS_2000_2019
110,Low-Density Mixed,1705.1761101206232,39.40901897766674,4.267133880276397,020401010202,2019_2019,nhdhr,NASA_NLDAS_2000_2019
111,Low-Density Open Space,6698.5889638462495,154.81381543700593,16.76294650624204,020401010202,2019_2019,nhdhr,NASA_NLDAS_2000_2019
112,Medium-Density Mixed,2300.7401854700247,44.48869027588619,4.538229269429532,020401010202,2019_2019,nhdhr,NASA_NLDAS_2000_2019
113,Open Land,1310.8044931969498,34.342607172000676,2.0140214293640453,020401010202,2019_2019,nhdhr,NASA_NLDAS_2000_2019
114,Point Sources,0.0,0.0,0.0,020401010202,2019_2019,nhdhr,NASA_NLDAS_2000_2019
115,Septic Systems,0.0,58.01094288,0.0,020401010202,2019_2019,nhdhr,NASA_NLDAS_2000_2019
116,Stream Bank Erosion,989071.0,968.0,270.0,020401010202,2019_2019,nhdhr,NASA_NLDAS_2000_2019
117,Subsurface Flow,0.0,29548.783988288804,664.0937891762305,020401010202,2019_2019,nhdhr,NASA_NLDAS_2000_2019
118,Wetlands,84.57444669901055,32.03235371553689,1.7607344897300483,020401010202,2019_2019,nhdhr,NASA_NLDAS_2000_2019
119,Wooded Areas,15359.565872166271,1102.5338154307435,71.61636264607145,020401010202,2019_2019,nhdhr,NASA_NLDAS_2000_2019
120,Barren Areas,0.0635110599733969,0.06174324007704181,0.002119466576643074,020401010203,2019_2019,nhdhr,NASA_NLDAS_2000_2019
121,Cropland,34.39561176482675,0.6342107515548083,0.10537153628407192,020401010203,2019_2019,nhdhr,NASA_NLDAS_2000_2019
122,Farm Animals,0.0,1486.9258470566951,319.4421689728555,020401010203,2019_2019,nhdhr,NASA_NLDAS_2000_2019
123,Hay/Pasture,141295.50157108827,1762.8018400328365,646.4710187067133,020401010203,2019_2019,nhdhr,NASA_NLDAS_2000_2019
124,High-Density Mixed,560.4130638094508,11.15799990199304,1.1399444593588872,020401010203,2019_2019,nhdhr,NASA_NLDAS_2000_2019
125,Low-Density Mixed,1486.408608034834,34.4526498683078,3.7290657047649836,020401010203,2019_2019,nhdhr,NASA_NLDAS_2000_2019
