,NYrs,NRur,NUrb,NLU,SedDelivRatio,WxYrBeg,WxYrEnd,huc,land_use_source,stream_layer,weather_source
0,20,10,6,16,0.12029498274614134,2000,2019,020401010101,2019_2019,nhdhr,NASA_NLDAS_2000_2019
1,20,10,6,16,0.12991458439736328,2000,2019,020401010102,2019_2019,nhdhr,NASA_NLDAS_2000_2019
2,20,10,6,16,0.1293623811840007,2000,2019,020401010103,2019_2019,nhdhr,NASA_NLDAS_2000_2019
3,20,10,6,16,0.12663545271078408,2000,2019,020401010104,2019_2019,nhdhr,NASA_NLDAS_2000_2019
4,20,10,6,16,0.10452413830075463,2000,2019,020401010105,2019_2019,nhdhr,NASA_NLDAS_2000_2019
5,20,10,6,16,0.11847185388107143,2000,2019,020401010106,2019_2019,nhdhr,NASA_NLDAS_2000_2019
6,20,10,6,16,0.12333845427637968,2000,2019,020401010201,2019_2019,nhdhr,NASA_NLDAS_2000_2019
7,20,10,6,16,0.12310393499575965,2000,2019,020401010202,2019_2019,nhdhr,NASA_NLDAS_2000_2019
8,20,10,6,16,0.13007128790299388,2000,2019,020401010203,2019_2019,nhdhr,NASA_NLDAS_2000_2019
9,20,10,6,16,0.13473077417838333,2000,2019,020401010204,2019_2019,nhdhr,NASA_NLDAS_2000_2019
10,20,10,6,16,0.10650542114219391,2000,2019,020401010205,2019_2019,nhdhr,NASA_NLDAS_2000_2019
11,20,10,6,16,0.10619377157090254,2000,2019,020401010206,2019_2019,nhdhr,NASA_NLDAS_2000_2019
12,20,10,6,16,0.10413973634413297,2000,2019,020401010207,2019_2019,nhdhr,NASA_NLDAS_2000_2019
13,20,10,6,16,0.12234208951857932,2000,2019,020401010301,2019_2019,nhdhr,NASA_NLDAS_2000_2019
14,20,10,6,16,0.11788313695325102,2000,2019,020401010302,2019_2019,nhdhr,NASA_NLDAS_2000_2019
15,20,10,6,16,0.12016087754719677,2000,2019,020401010303,2019_2019,nhdhr,NASA_NLDAS_2000_2019
16,20,10,6,16,0.13501213730658623,2000,2019,020401010304,2019_2019,nhdhr,NASA_NLDAS_2000_2019
17,20,10,6,16,0.11602231988242317,2000,2019,020401010305,2019_2019,nhdhr,NASA_NLDAS_2000_2019
18,20,10,6,16,0.1433842318934216,2000,2019,020401010306,2019_2019,nhdhr,NASA_NLDAS_2000_2019
19,20,10,6,16,0.11628915396699818,2000,2019,020401010307,2019_2019,nhdhr,NASA_NLDAS_2000_2019
20,20,10,6,16,0.13293779070443537,2000,2019,020401010401,2019_2019,nhdhr,NASA_NLDAS_2000_2019
21,20,10,6,16,0.11851648215978314,2000,2019,020401010402,2019_2019,nhdhr,NASA_NLDAS_2000_2019
22,20,10,6,16,0.1348943659659263,2000,2019,020401010403,2019_2019,nhdhr,NASA_NLDAS_2000_2019
23,20,10,6,16,0.134242363152108,2000,2019,020401010404,2019_2019,nhdhr,NASA_NLDAS_2000_2019
24,20,10,6,16,0.13002467872540183,2000,2019,020401010405,2019_2019,nhdhr,NASA_NLDAS_2000_2019
25,20,10,6,16,0.11664649517816689,2000,2019,020401010406,2019_2019,nhdhr,NASA_NLDAS_2000_2019
26,20,10,6,16,0.11166154469411475,2000,2019,020401010501,2019_2019,nhdhr,NASA_NLDAS_2000_2019
