,Source,TotalN,TotalP,Sediment,Area,gwlfe_endpoint,huc,huc_level,huc_run,huc_run_level,huc_run_name,huc_run_states,huc_run_areaacres,land_use_source,closest_weather_stations,stream_layer,weather_source
0,Entire area,156039.564995623,11896.819598482627,7705695.43599844,50888.2,subbasin,0204010101,10,0204010101,10,Upper West Branch Delaware River,NY,125868.25,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
1,Entire area,22457.278173872972,2140.7139912816347,1374315.422063302,8403.6,subbasin,020401010101,12,020401010101,12,Town Brook-West Branch Delaware River,NY,20586.32,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
2,Entire area,18953.96579122443,1553.9491032940753,807241.0063341284,6477.400000000001,subbasin,020401010102,12,020401010102,12,Betty Brook-West Branch Delaware River,NY,16095.45,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
3,Entire area,39675.98387128469,1607.9716882601747,719183.2861599877,6604.7,subbasin,020401010103,12,020401010103,12,Rose Brook-West Branch Delaware River,NY,16327.17,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
4,Entire area,30404.370053975224,1678.229308558208,905775.6525536354,7090.299999999999,subbasin,020401010104,12,020401010104,12,Kidd Brook-West Branch Delaware River,NY,17537.2,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
5,Entire area,25730.580835256726,2671.8228594417087,2105367.7326629255,13455.6,subbasin,020401010105,12,020401010105,12,Little Delaware River,NY,33390.3,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
6,Entire area,18817.38627000896,2244.132647646825,1793812.3362244605,8856.6,subbasin,020401010106,12,020401010106,12,Elk Brook-West Branch Delaware River,NY,21931.82,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
7,Entire area,265183.8057932522,13682.433788621402,9548542.444165,65294.3,subbasin,0204010102,10,0204010102,10,Middle West Branch Delaware River,NY,165564.46,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
8,Entire area,48912.95794431496,1973.3409873221615,1166243.7440443337,7741.4,subbasin,020401010201,12,020401010201,12,Platner Brook-West Branch Delaware River,NY,19160.46,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
9,Entire area,34740.20716863077,1445.1575056998274,970752.3236836017,7786.499999999999,subbasin,020401010202,12,020401010202,12,Bagley Brook-West Branch Delaware River,NY,19284.9,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
10,Entire area,15524.650511212289,1707.3344857737175,998580.0990995992,6477.799999999998,subbasin,020401010203,12,020401010203,12,East Brook,NY,16028.98,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
11,Entire area,32734.297132222717,1169.042008976317,699563.3938121089,5741.9,subbasin,020401010204,12,020401010204,12,Mallory Brook-West Branch Delaware River,NY,14244.69,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
12,Entire area,51042.96914898459,3162.1279507618547,2541992.9417569847,12646.2,subbasin,020401010205,12,020401010205,12,Beers Brook-West Branch Delaware River,NY,31350.77,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
13,Entire area,30710.529616852564,2651.0549443065693,1946794.3390716363,12522.7,subbasin,020401010206,12,020401010206,12,Trout Creek,NY,31688.98,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
14,Entire area,51518.194271034314,1574.3759057809539,1224615.6026967368,12377.8,subbasin,020401010207,12,020401010207,12,Cannonsville Reservoir-West Branch Delaware River,NY,33805.69,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
15,Entire area,181569.39061629924,12504.5300362439,6447221.214317245,54243.200000000004,subbasin,0204010103,10,0204010103,10,Lower West Branch Delaware River,"NY,PA",135505.85,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
16,Entire area,17662.400681568626,1642.180666492836,709851.3589066123,7951.7,subbasin,020401010301,12,020401010301,12,Cold Spring Creek,NY,19689.14,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
17,Entire area,56260.803700195895,2502.5949194439395,1105988.1199106704,8989.499999999998,subbasin,020401010302,12,020401010302,12,Upper Oquaga Creek,NY,22311.83,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
18,Entire area,26529.36000566044,2289.506862070617,1014690.2686622578,8416.800000000001,subbasin,020401010303,12,020401010303,12,Lower Oquaga Creek,NY,20913.46,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
19,Entire area,26364.515653996852,1445.7991619554075,815769.4541239449,5615.200000000001,subbasin,020401010304,12,020401010304,12,Big Hollow-West Branch Delaware River,NY,14145.32,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
20,Entire area,22293.17967181012,1528.1894801716949,1070553.6347020038,9331.3,subbasin,020401010305,12,020401010305,12,Sherman Creek-West Branch Delaware River,"NY,PA",23524.65,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
21,Entire area,10439.366137978795,927.95488835157,363517.2225632155,4668.3,subbasin,020401010306,12,020401010306,12,Sands Creek,NY,11576.99,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
22,Entire area,22019.764765088494,2168.3040577578336,1366851.1554485413,9270.4,subbasin,020401010307,12,020401010307,12,Balls Creek-West Branch Delaware River,"NY,PA",23344.47,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
23,Entire area,104245.46555932486,8355.580744729476,4964646.372079498,41385.7,subbasin,0204010104,10,0204010104,10,Equinunk Creek-Delaware River,"NY,PA",104564.64,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
24,Entire area,14643.98603398761,1609.4173167853446,881090.4806719675,5827.7,subbasin,020401010401,12,020401010401,12,Upper Equinunk Creek,PA,14899.71,2019_2019,"4725,14777",nhdhr,NASA_NLDAS_2000_2019
