,Source,TotalN,TotalP,Sediment,Area,gwlfe_endpoint,huc,huc_level,huc_run,huc_run_level,huc_run_name,huc_run_states,huc_run_areaacres,land_use_source,closest_weather_stations,stream_layer,weather_source
0,Barren Areas,1.07385939665146,0.0372406351059309,1.93154496820926,1.9798124884359642,subbasin,020401010101,12,020401010101,12,Town Brook-West Branch Delaware River,NY,20586.32,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
1,Cropland,179.70189455696,28.9329716565845,11487.2137690908,32.126957198710876,subbasin,020401010101,12,020401010101,12,Town Brook-West Branch Delaware River,NY,20586.32,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
2,Farm Animals,1964.32869728254,415.555726717986,0.0,2631.0808056546493,subbasin,020401010101,12,020401010101,12,Town Brook-West Branch Delaware River,NY,20586.32,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
3,Hay/Pasture,2383.22877485017,823.231529415872,195975.464261103,2598.9538484559384,subbasin,020401010101,12,020401010101,12,Town Brook-West Branch Delaware River,NY,20586.32,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
4,High-Density Mixed,47.5087508448509,4.80513941996454,2302.81690579089,17.368355012188232,subbasin,020401010101,12,020401010101,12,Town Brook-West Branch Delaware River,NY,20586.32,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
5,Low-Density Mixed,82.6890265883477,8.7066902738807,3316.76657472799,150.82571502812166,subbasin,020401010101,12,020401010101,12,Town Brook-West Branch Delaware River,NY,20586.32,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
6,Low-Density Open Space,212.008425133091,22.1298790612338,8468.77921814198,386.7833670589898,subbasin,020401010101,12,020401010101,12,Town Brook-West Branch Delaware River,NY,20586.32,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
7,Medium-Density Mixed,153.163040760462,15.4662605922828,7418.33828033364,56.064690013436625,subbasin,020401010101,12,020401010101,12,Town Brook-West Branch Delaware River,NY,20586.32,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
8,Open Land,16.0922145490129,1.23219309630414,990.435064402207,13.768695942304662,subbasin,020401010101,12,020401010101,12,Town Brook-West Branch Delaware River,NY,20586.32,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
9,Point Sources,0.0,0.0,0.0,8403.6,subbasin,020401010101,12,020401010101,12,Town Brook-West Branch Delaware River,NY,20586.32,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
10,Septic Systems,197.982571184775,0.0,0.0,150.82571502812166,subbasin,020401010101,12,020401010101,12,Town Brook-West Branch Delaware River,NY,20586.32,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
11,Stream Bank Erosion,1047.72819326192,283.24924962834,1135087.6619987,8403.6,subbasin,020401010101,12,020401010101,12,Town Brook-West Branch Delaware River,NY,20586.32,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
12,Subsurface Flow,15462.2893477123,493.551754179845,0.0,8403.6,subbasin,020401010101,12,020401010101,12,Town Brook-West Branch Delaware River,NY,20586.32,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
13,Wetlands,49.3227721170034,2.62020344323432,123.025040711256,144.79628608606666,subbasin,020401010101,12,020401010101,12,Town Brook-West Branch Delaware River,NY,20586.32,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
14,Wooded Areas,660.160605634889,41.1951531610005,9142.98940533207,5000.826362835752,subbasin,020401010101,12,020401010101,12,Town Brook-West Branch Delaware River,NY,20586.32,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
15,Barren Areas,0.643391566051605,0.0221948196480762,0.913757082307334,1.1699079487328026,subbasin,020401010102,12,020401010102,12,Betty Brook-West Branch Delaware River,NY,16095.45,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
16,Cropland,185.509067085955,35.902488096203,19678.0985435314,59.215340789706474,subbasin,020401010102,12,020401010102,12,Betty Brook-West Branch Delaware River,NY,16095.45,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
17,Farm Animals,1443.99539945937,307.043941510798,0.0,1716.6149324675546,subbasin,020401010102,12,020401010102,12,Betty Brook-West Branch Delaware River,NY,16095.45,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
18,Hay/Pasture,1591.32944772229,575.412778773036,147076.902370782,1657.399591677848,subbasin,020401010102,12,020401010102,12,Betty Brook-West Branch Delaware River,NY,16095.45,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
19,High-Density Mixed,4.48782566883845,0.454219187843908,243.963902704142,1.7998583826658503,subbasin,020401010102,12,020401010102,12,Betty Brook-West Branch Delaware River,NY,16095.45,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
20,Low-Density Mixed,39.1500947213899,4.18346601158061,1620.88133409168,75.05409455716594,subbasin,020401010102,12,020401010102,12,Betty Brook-West Branch Delaware River,NY,16095.45,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
21,Low-Density Open Space,130.531469948944,13.9401208953264,5402.73573715225,250.36030102881972,subbasin,020401010102,12,020401010102,12,Betty Brook-West Branch Delaware River,NY,16095.45,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
22,Medium-Density Mixed,41.6349825614508,4.20954079852932,2262.20677878213,16.738682958792403,subbasin,020401010102,12,020401010102,12,Betty Brook-West Branch Delaware River,NY,16095.45,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
23,Open Land,19.9759306637571,1.63328246567464,1246.97288193613,17.27864047359216,subbasin,020401010102,12,020401010102,12,Betty Brook-West Branch Delaware River,NY,16095.45,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
24,Point Sources,0.0,0.0,0.0,6477.400000000001,subbasin,020401010102,12,020401010102,12,Betty Brook-West Branch Delaware River,NY,16095.45,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
25,Septic Systems,59.604887619681,0.0,0.0,75.05409455716594,subbasin,020401010102,12,020401010102,12,Betty Brook-West Branch Delaware River,NY,16095.45,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
26,Stream Bank Erosion,568.280787146879,164.92064801815,622132.484365485,6477.400000000001,subbasin,020401010102,12,020401010102,12,Betty Brook-West Branch Delaware River,NY,16095.45,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
27,Subsurface Flow,14262.917368851,407.98094319206,0.0,6477.400000000001,subbasin,020401010102,12,020401010102,12,Betty Brook-West Branch Delaware River,NY,16095.45,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
28,Wetlands,43.8461190747855,2.39641613031827,120.506873679965,128.5098885223417,subbasin,020401010102,12,020401010102,12,Betty Brook-West Branch Delaware River,NY,16095.45,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
29,Wooded Areas,562.059019134042,35.8490633949069,7455.33978890151,4269.804041198196,subbasin,020401010102,12,020401010102,12,Betty Brook-West Branch Delaware River,NY,16095.45,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
30,Barren Areas,4.28335389081016,0.158923757399744,17.7226350701846,7.921427271470255,subbasin,020401010103,12,020401010103,12,Rose Brook-West Branch Delaware River,NY,16327.17,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
