,Source,Unit,Sediment,TotalN,TotalP,gwlfe_endpoint,huc_run,huc_run_level,huc,huc_name,huc_states,huc_areaacres,huc_level,land_use_source,stream_layer,weather_source,closest_weather_stations
0,Loading Rates,kg/ha,382.805317993757,3.3264891556003975,0.294373461660972,gwlfe,0204010101,10,0204010101,Upper West Branch Delaware River,NY,125868.25,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
1,Mean Annual Concentration,mg/l,85.08742878040857,0.7393899609319594,0.06543138189717829,gwlfe,0204010101,10,0204010101,Upper West Branch Delaware River,NY,125868.25,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
2,Mean Low-Flow Concentration,mg/l,178.0213430386899,1.1466728346513677,0.17704347918621777,gwlfe,0204010101,10,0204010101,Upper West Branch Delaware River,NY,125868.25,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
3,Total Loads,kg,19480043.89993911,169277.0495545308,14979.958967618879,gwlfe,0204010101,10,0204010101,Upper West Branch Delaware River,NY,125868.25,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
4,Loading Rates,kg/ha,165.11963561303986,2.6768612687443643,0.25879638679264305,gwlfe,020401010101,12,020401010101,Town Brook-West Branch Delaware River,NY,20586.32,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
5,Mean Annual Concentration,mg/l,37.448678880297216,0.6071047679346752,0.05869430821111572,gwlfe,020401010101,12,020401010101,Town Brook-West Branch Delaware River,NY,20586.32,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
6,Mean Low-Flow Concentration,mg/l,84.65318590826296,1.1242418836037247,0.1920495714016148,gwlfe,020401010101,12,020401010101,Town Brook-West Branch Delaware River,NY,20586.32,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
7,Total Loads,kg,1387599.3698377418,22495.27135802014,2174.8213160506552,gwlfe,020401010101,12,020401010101,Town Brook-West Branch Delaware River,NY,20586.32,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
8,Loading Rates,kg/ha,125.024437453681,2.927537318369112,0.24138419158401403,gwlfe,020401010102,12,020401010102,Betty Brook-West Branch Delaware River,NY,16095.45,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
9,Mean Annual Concentration,mg/l,27.813052515122568,0.6512626717952403,0.053698551527847124,gwlfe,020401010102,12,020401010102,Betty Brook-West Branch Delaware River,NY,16095.45,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
10,Mean Low-Flow Concentration,mg/l,61.54209295319838,0.9975199392471933,0.15515944548560662,gwlfe,020401010102,12,020401010102,Betty Brook-West Branch Delaware River,NY,16095.45,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
11,Total Loads,kg,809833.2911624734,18962.830226004087,1563.5419625662926,gwlfe,020401010102,12,020401010102,Betty Brook-West Branch Delaware River,NY,16095.45,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
12,Loading Rates,kg/ha,109.19641664074955,6.009155322326801,0.24480465183060252,gwlfe,020401010103,12,020401010103,Rose Brook-West Branch Delaware River,NY,16327.17,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
13,Mean Annual Concentration,mg/l,24.431814813108947,1.3444998886850708,0.054773060352247084,gwlfe,020401010103,12,020401010103,Rose Brook-West Branch Delaware River,NY,16327.17,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
14,Mean Low-Flow Concentration,mg/l,56.391327759208615,1.556509320125485,0.15668824659262956,gwlfe,020401010103,12,020401010103,Rose Brook-West Branch Delaware River,NY,16327.17,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
15,Total Loads,kg,721209.5729871585,39688.668157371816,1616.8612839455805,gwlfe,020401010103,12,020401010103,Rose Brook-West Branch Delaware River,NY,16327.17,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
16,Loading Rates,kg/ha,128.34467997660326,4.290774233330058,0.23893656355484003,gwlfe,020401010104,12,020401010104,Kidd Brook-West Branch Delaware River,NY,17537.2,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
17,Mean Annual Concentration,mg/l,28.924190613844424,0.9669833749901828,0.05384755106434488,gwlfe,020401010104,12,020401010104,Kidd Brook-West Branch Delaware River,NY,17537.2,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
18,Mean Low-Flow Concentration,mg/l,65.82667239377705,1.2809457383674683,0.15686796962660246,gwlfe,020401010104,12,020401010104,Kidd Brook-West Branch Delaware River,NY,17537.2,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
19,Total Loads,kg,910002.2844381101,30422.876546580108,1694.1319165728821,gwlfe,020401010104,12,020401010104,Kidd Brook-West Branch Delaware River,NY,17537.2,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
20,Loading Rates,kg/ha,157.22790058822397,1.91444257558297,0.20063772997447302,gwlfe,020401010105,12,020401010105,Little Delaware River,NY,33390.3,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
21,Mean Annual Concentration,mg/l,35.71825454527305,0.43491356795552233,0.045579884255929175,gwlfe,020401010105,12,020401010105,Little Delaware River,NY,33390.3,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
22,Mean Low-Flow Concentration,mg/l,80.02881407573993,0.82683328668369,0.14355184312362096,gwlfe,020401010105,12,020401010105,Little Delaware River,NY,33390.3,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
23,Total Loads,kg,2115595.7391549065,25759.97352001421,2699.701039444519,gwlfe,020401010105,12,020401010105,Little Delaware River,NY,33390.3,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
24,Loading Rates,kg/ha,203.82500660387734,2.128075814553174,0.25709635931132346,gwlfe,020401010106,12,020401010106,Elk Brook-West Branch Delaware River,NY,21931.82,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
25,Mean Annual Concentration,mg/l,45.72081841091723,0.4773573640595656,0.057670332772393695,gwlfe,020401010106,12,020401010106,Elk Brook-West Branch Delaware River,NY,21931.82,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
26,Mean Low-Flow Concentration,mg/l,95.88318471180638,0.9455300652669473,0.16480200908841952,gwlfe,020401010106,12,020401010106,Elk Brook-West Branch Delaware River,NY,21931.82,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
27,Total Loads,kg,1805196.5534879002,18847.516259171643,2276.9996158766676,gwlfe,020401010106,12,020401010106,Elk Brook-West Branch Delaware River,NY,21931.82,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
28,Loading Rates,kg/ha,485.90138747608233,4.081184061852515,0.3551497031420802,gwlfe,0204010102,10,0204010102,Middle West Branch Delaware River,NY,165564.46,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
29,Mean Annual Concentration,mg/l,77.12482071447774,0.6477869732130631,0.05637122652377936,gwlfe,0204010102,10,0204010102,Middle West Branch Delaware River,NY,165564.46,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
30,Mean Low-Flow Concentration,mg/l,100.65053949998935,0.8566624809360451,0.07251211330742005,gwlfe,0204010102,10,0204010102,Middle West Branch Delaware River,NY,165564.46,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
31,Total Loads,kg,31726833.914973307,266480.0970818476,23189.428836721505,gwlfe,0204010102,10,0204010102,Middle West Branch Delaware River,NY,165564.46,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
32,Loading Rates,kg/ha,153.16735068480608,6.3410561642842085,0.26257197041747204,gwlfe,020401010201,12,020401010201,Platner Brook-West Branch Delaware River,NY,19160.46,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
33,Mean Annual Concentration,mg/l,27.082227553389114,1.1211914628161088,0.046426564278839705,gwlfe,020401010201,12,020401010201,Platner Brook-West Branch Delaware River,NY,19160.46,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
34,Mean Low-Flow Concentration,mg/l,38.679226367197856,2.820083566237462,0.0720058266950088,gwlfe,020401010201,12,020401010201,Platner Brook-West Branch Delaware River,NY,19160.46,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
35,Total Loads,kg,1185729.7285913578,49088.65219018977,2032.6746517898182,gwlfe,020401010201,12,020401010201,Platner Brook-West Branch Delaware River,NY,19160.46,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
36,Loading Rates,kg/ha,148.99568254535464,4.567641742261291,0.2637488708142331,gwlfe,020401010202,12,020401010202,Bagley Brook-West Branch Delaware River,NY,19284.9,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
37,Mean Annual Concentration,mg/l,26.306563447721768,0.8064593231597994,0.046567298366028506,gwlfe,020401010202,12,020401010202,Bagley Brook-West Branch Delaware River,NY,19284.9,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
38,Mean Low-Flow Concentration,mg/l,37.00754328656769,0.9043284458065644,0.07102782730027205,gwlfe,020401010202,12,020401010202,Bagley Brook-West Branch Delaware River,NY,19284.9,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
39,Total Loads,kg,1160154.8821394038,35565.94242611754,2053.680582595026,gwlfe,020401010202,12,020401010202,Bagley Brook-West Branch Delaware River,NY,19284.9,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
40,Loading Rates,kg/ha,154.74815672551983,2.398506584264467,0.2660208876734751,gwlfe,020401010203,12,020401010203,East Brook,NY,16028.98,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
41,Mean Annual Concentration,mg/l,27.578560993000284,0.4274516835995494,0.04740911576173327,gwlfe,020401010203,12,020401010203,East Brook,NY,16028.98,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
42,Mean Low-Flow Concentration,mg/l,39.562571086273195,0.5468639050167834,0.07557505153528295,gwlfe,020401010203,12,020401010203,East Brook,NY,16028.98,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
43,Total Loads,kg,1002427.6096365721,15537.045951548358,1723.2301061712367,gwlfe,020401010203,12,020401010203,East Brook,NY,16028.98,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
44,Loading Rates,kg/ha,136.19636723007187,5.7882626495511476,0.26133221261925016,gwlfe,020401010204,12,020401010204,Mallory Brook-West Branch Delaware River,NY,14244.69,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
45,Mean Annual Concentration,mg/l,24.020508019123643,1.0208569598296755,0.046090307961532774,gwlfe,020401010204,12,020401010204,Mallory Brook-West Branch Delaware River,NY,14244.69,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
46,Mean Low-Flow Concentration,mg/l,32.727797614889134,1.1336869814324886,0.06951874067295265,gwlfe,020401010204,12,020401010204,Mallory Brook-West Branch Delaware River,NY,14244.69,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14777"
