,Source,Sediment,TotalN,TotalP,gwlfe_endpoint,huc_run,huc_run_level,huc,huc_name,huc_states,huc_areaacres,huc_level,land_use_source,stream_layer,weather_source,closest_weather_stations
0,Barren Areas,19.222057120016768,8.82197608775612,0.31216902595203566,gwlfe,0204010101,10,0204010101,Upper West Branch Delaware River,NY,125868.25,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
1,Cropland,58624.37443946149,1257.6960126265117,200.4813943309975,gwlfe,0204010101,10,0204010101,Upper West Branch Delaware River,NY,125868.25,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
2,Farm Animals,0.0,11471.230050058997,2456.928429621995,gwlfe,0204010101,10,0204010101,Upper West Branch Delaware River,NY,125868.25,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
3,Hay/Pasture,529830.6012045124,9307.543576268154,3502.3309669978926,gwlfe,0204010101,10,0204010101,Upper West Branch Delaware River,NY,125868.25,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
4,High-Density Mixed,7292.865043398563,148.2518255739598,15.154422372882898,gwlfe,0204010101,10,0204010101,Upper West Branch Delaware River,NY,125868.25,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
5,Low-Density Mixed,14103.099242479779,341.05823951268854,36.63490564039171,gwlfe,0204010101,10,0204010101,Upper West Branch Delaware River,NY,125868.25,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
6,Low-Density Open Space,45162.46318957178,1092.1734239164018,117.31624013919284,gwlfe,0204010101,10,0204010101,Upper West Branch Delaware River,NY,125868.25,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
7,Medium-Density Mixed,25133.15239000015,510.91521673211645,52.226169634780405,gwlfe,0204010101,10,0204010101,Upper West Branch Delaware River,NY,125868.25,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
8,Open Land,4203.301240428424,196.1213165225317,8.092910030117132,gwlfe,0204010101,10,0204010101,Upper West Branch Delaware River,NY,125868.25,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
9,Point Sources,0.0,0.0,0.0,gwlfe,0204010101,10,0204010101,Upper West Branch Delaware River,NY,125868.25,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
10,Septic Systems,0.0,670.3486732799997,0.0,gwlfe,0204010101,10,0204010101,Upper West Branch Delaware River,NY,125868.25,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
11,Stream Bank Erosion,18756493.0,17725.0,5007.0,gwlfe,0204010101,10,0204010101,Upper West Branch Delaware River,NY,125868.25,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
12,Subsurface Flow,0.0,122325.41838336736,3327.203277220078,gwlfe,0204010101,10,0204010101,Upper West Branch Delaware River,NY,125868.25,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
13,Wetlands,349.3450804306659,227.70018446229932,12.287745577245186,gwlfe,0204010101,10,0204010101,Upper West Branch Delaware River,NY,125868.25,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
14,Wooded Areas,38832.47605170408,3994.7706761220143,243.99033702735332,gwlfe,0204010101,10,0204010101,Upper West Branch Delaware River,NY,125868.25,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
15,Barren Areas,1.938703564570097,1.0742200175901708,0.03751767677030261,gwlfe,020401010101,12,020401010101,Town Brook-West Branch Delaware River,NY,20586.32,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
16,Cropland,11507.279379231135,179.73038777691949,29.03421898269916,gwlfe,020401010101,12,020401010101,Town Brook-West Branch Delaware River,NY,20586.32,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"4725,14735"
