,Source,Sediment,TotalN,TotalP,huc,gwlfe_endpoint,huc_level,huc_run,huc_run_level,huc_run_name,huc_run_states,huc_run_areaacres,land_use_source,closest_weather_stations,stream_layer,weather_source
0,Barren Areas,1.93154496820926,1.07385939665146,0.0372406351059309,020401010101,wikisrat,12,020401010101,12,Town Brook-West Branch Delaware River,NY,20586.32,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
1,Wooded Areas,9142.98940533207,660.160605634889,41.1951531610005,020401010101,wikisrat,12,020401010101,12,Town Brook-West Branch Delaware River,NY,20586.32,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
2,Wetlands,123.025040711256,49.3227721170034,2.62020344323432,020401010101,wikisrat,12,020401010101,12,Town Brook-West Branch Delaware River,NY,20586.32,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
3,Subsurface Flow,,15462.2893477123,493.551754179845,020401010101,wikisrat,12,020401010101,12,Town Brook-West Branch Delaware River,NY,20586.32,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
4,Stream Bank Erosion,1135087.6619987,1047.72819326192,283.24924962834,020401010101,wikisrat,12,020401010101,12,Town Brook-West Branch Delaware River,NY,20586.32,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
5,Point Sources,,0.0,0.0,020401010101,wikisrat,12,020401010101,12,Town Brook-West Branch Delaware River,NY,20586.32,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
6,Open Land,990.435064402207,16.0922145490129,1.23219309630414,020401010101,wikisrat,12,020401010101,12,Town Brook-West Branch Delaware River,NY,20586.32,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
7,Septic Systems,,197.982571184775,0.0,020401010101,wikisrat,12,020401010101,12,Town Brook-West Branch Delaware River,NY,20586.32,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
8,Low-Density Open Space,8468.77921814198,212.008425133091,22.1298790612338,020401010101,wikisrat,12,020401010101,12,Town Brook-West Branch Delaware River,NY,20586.32,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
9,Low-Density Mixed,3316.76657472799,82.6890265883477,8.7066902738807,020401010101,wikisrat,12,020401010101,12,Town Brook-West Branch Delaware River,NY,20586.32,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
10,High-Density Mixed,2302.81690579089,47.5087508448509,4.80513941996454,020401010101,wikisrat,12,020401010101,12,Town Brook-West Branch Delaware River,NY,20586.32,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
11,Hay/Pasture,195975.464261103,2383.22877485017,823.231529415872,020401010101,wikisrat,12,020401010101,12,Town Brook-West Branch Delaware River,NY,20586.32,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
12,Farm Animals,,1964.32869728254,415.555726717986,020401010101,wikisrat,12,020401010101,12,Town Brook-West Branch Delaware River,NY,20586.32,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
13,Cropland,11487.2137690908,179.70189455696,28.9329716565845,020401010101,wikisrat,12,020401010101,12,Town Brook-West Branch Delaware River,NY,20586.32,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
14,Medium-Density Mixed,7418.33828033364,153.163040760462,15.4662605922828,020401010101,wikisrat,12,020401010101,12,Town Brook-West Branch Delaware River,NY,20586.32,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
15,Point Sources,,0.0,0.0,020401010102,wikisrat,12,020401010102,12,Betty Brook-West Branch Delaware River,NY,16095.45,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
16,Wooded Areas,7455.33978890151,562.059019134042,35.8490633949069,020401010102,wikisrat,12,020401010102,12,Betty Brook-West Branch Delaware River,NY,16095.45,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
17,Wetlands,120.506873679965,43.8461190747855,2.39641613031827,020401010102,wikisrat,12,020401010102,12,Betty Brook-West Branch Delaware River,NY,16095.45,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
18,Subsurface Flow,,14262.917368851,407.98094319206,020401010102,wikisrat,12,020401010102,12,Betty Brook-West Branch Delaware River,NY,16095.45,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
19,Stream Bank Erosion,622132.484365485,568.280787146879,164.92064801815,020401010102,wikisrat,12,020401010102,12,Betty Brook-West Branch Delaware River,NY,16095.45,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
20,Septic Systems,,59.604887619681,0.0,020401010102,wikisrat,12,020401010102,12,Betty Brook-West Branch Delaware River,NY,16095.45,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
21,Open Land,1246.97288193613,19.9759306637571,1.63328246567464,020401010102,wikisrat,12,020401010102,12,Betty Brook-West Branch Delaware River,NY,16095.45,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
22,Hay/Pasture,147076.902370782,1591.32944772229,575.412778773036,020401010102,wikisrat,12,020401010102,12,Betty Brook-West Branch Delaware River,NY,16095.45,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
23,Low-Density Open Space,5402.73573715225,130.531469948944,13.9401208953264,020401010102,wikisrat,12,020401010102,12,Betty Brook-West Branch Delaware River,NY,16095.45,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
24,Low-Density Mixed,1620.88133409168,39.1500947213899,4.18346601158061,020401010102,wikisrat,12,020401010102,12,Betty Brook-West Branch Delaware River,NY,16095.45,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
25,High-Density Mixed,243.963902704142,4.48782566883845,0.454219187843908,020401010102,wikisrat,12,020401010102,12,Betty Brook-West Branch Delaware River,NY,16095.45,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
26,Farm Animals,,1443.99539945937,307.043941510798,020401010102,wikisrat,12,020401010102,12,Betty Brook-West Branch Delaware River,NY,16095.45,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
27,Cropland,19678.0985435314,185.509067085955,35.902488096203,020401010102,wikisrat,12,020401010102,12,Betty Brook-West Branch Delaware River,NY,16095.45,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
28,Barren Areas,0.913757082307334,0.643391566051605,0.0221948196480762,020401010102,wikisrat,12,020401010102,12,Betty Brook-West Branch Delaware River,NY,16095.45,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
29,Medium-Density Mixed,2262.20677878213,41.6349825614508,4.20954079852932,020401010102,wikisrat,12,020401010102,12,Betty Brook-West Branch Delaware River,NY,16095.45,2019_2019,"4725,14735",nhdhr,NASA_NLDAS_2000_2019
