practice_type,practice_count,area_ac,tn_load_reduced,tp_load_reduced,tss_load_reduced
Access Control,1,207.1,0.0,0.0,0.0
Access Road,1,0.0,0.0,0.0,0.0
Aquatic Organism Passage,1,1.1,0.0,0.0,0.0
Barnyard Runoff Controls,10,61.07,52.55,16.19,11715.06
Bioretention,34,2.03,1059.13,322.19,1235219.94
Bioretention/raingarden - C/D soils no underdrain,20,0.23,57.67,17.84,27321.35
Bioretention/raingardens - A/B soils no underdrain,32,2.93,25.4,7.279999999999999,23022.38
Bioretention/raingardens - C/D soils underdrain,9,4.17,23.959999999999997,7.1899999999999995,29862.1
Bioswale,9,1.27,12.21,4.17,16167.62
Cistern,4,0.01,0.0,0.0,0.0
Comprehensive Nutrient Management Plan,12,1981.64,1310.99,589.45,0.0
Conservation Cover,19,270.6,418.95,232.98000000000002,112475.3
Conservation Easement,2,19483.92,40.14,7.81,7175.63
Conservation Tillage,13,1568.23,518.58,399.08,448380.54
Constructed Wetland,2,0.73,85.25999999999999,40.760000000000005,66737.58
Contour Orchard and Other Perennial Crops,1,3.39,0.0,0.0,0.0
Cover Crop,149,12351.04,16706.03,9415.35,4514407.68
Crop Rotation,1,102.03,0.0,0.0,0.0
Depaving,1,0.0,0.0,0.0,0.0
Diversion,7,0.0,0.0,0.0,0.0
Early Successional Habitat,1,0.44,0.0,0.0,0.0
Erosion and Sediment Control Level 1,1,0.13,0.0,0.0,0.0
Fence,27,236.79,2698.63,1468.54,333691.21
Flow Through Planter,1,0.0,0.0,0.0,0.0
Forest Buffer,43,518.93,29906.75,6600.339999999999,3601994.8
Forest Buffer - Narrow,7,266.12,368.76000000000005,118.53999999999999,107079.9
Forest Buffer - Streamside with Exclusion Fencing,39,17.94,22716.78,6161.55,12260837.63
Forest Management Plan,2,20.19,0.0,0.0,0.0
Grass Buffer - Narrow,5,6.59,419.03,135.28,117014.42
Grass Buffer - Narrow with Exclusion Fencing,1,45.25,168.24,24.75,1093421.7
Grass Buffer - Streamside with Exclusion Fencing,1,0.0,2250.03,596.61,529095.26
Grass Buffers,2,7.38,0.0,0.0,0.0
Grassed Waterway,26,87.92,456.39,224.37,132551.51
Grazing Land Protection,3,117.43,21.29,8.4,1747.38
Green Infrastructure Plan,1,11256.44,0.0,0.0,0.0
Heavy Use Area Protection,49,54.82,522.26,180.45000000000002,119139.16
Impervious Surface Reduction,2,0.09,1.13,0.19,793.75
In-Field Soil Health Assessment,25,1481.9,0.0,0.0,0.0
"Irrigation System, Microirrigation",2,60.69,0.0,0.0,0.0
Livestock Pipeline,4,0.73,0.0,0.0,0.0
Non-Urban Stream Restoration,14,81.6,2669.86,1685.42,526440.71
Nutrient Management,7,917.39,560.66,254.71,0.0
Obstruction Removal,1,0.01,0.0,0.0,0.0
Permeable Pavement w/o Sand Veg. - A/B soils no underdrain,4,0.4,4.7299999999999995,0.79,1046.84
Pollinator Habitat,4,0.54,0.0,0.0,0.0
Prescribed Grazing,8,337.21,48.38,23.599999999999998,7325.93
Pumping Plant,3,0.0,0.0,0.0,0.0
"Residue and Till Management, No Till",2,9.26,0.0,0.0,0.0
Riparian Forest Buffer,52,1775.73,3418.6,552.1899999999999,463506.35000000003
Riparian Herbaceous Cover,4,25.71,227.97,42.879999999999995,33331.83
Roof Runoff Management,2,8.39,5.7,1.38,1044.84
Roof Runoff Structure,33,53.25,185.62,61.89,39675.98
Roofs and Covers,15,3.09,78.39,27.0,16042.4
Soil Conservation and Water Quality Plans,39,3305.22,2671.95,978.1500000000001,648435.08
Sprinkler System (Center Pivot),3,252.78,0.0,0.0,0.0
Stream Channel Stabilization,2,0.08,34.55,20.73,4180.09
Stream Crossing,40,0.89,0.0,0.0,1000.0
Streambank and Shoreline Protection,3,10.14,444.33000000000004,266.6,143024.34
Trails and Walkways,24,0.87,0.0,0.0,0.0
Tree Planting,4,5.36,20.58,4.24,3385.36
Tree and Shrub Establishment,9,144.86,272.15000000000003,69.35000000000001,45188.37
Underground Outlet,3,0.0,0.0,0.0,0.0
Urban Infiltration Practices,2,0.31,2.09,0.36000000000000004,1488.29
Urban Stream Restoration,2,0.26,52.31,44.35,27946.55
Vegetated Treatment Area,4,1.54,0.0,0.0,0.0
Waste Facility Closure,2,0.65,0.0,0.0,0.0
Waste Storage Facility,47,55.73,11662.3,2954.64,0.0
Waste Storage Pond,1,1.14,594.93,132.51,0.0
Waste Storage Structure,30,1.99,12509.539999999999,4838.42,0.0
Waste Transfer,4,0.0,0.0,0.0,0.0
Watering Facility,16,334.34,163.01999999999998,90.69999999999999,20008.77
Wet Pond,1,0.2,52.74,26.49,35413.76
Wetland Creation - Floodplain,1,0.33,0.17,0.08,30.13
Wetland Restoration,3,10.08,36.44,21.439999999999998,12978.44
Wetland Restoration - Floodplain,1,0.44,0.17,0.04,16.15
TOTAL,960,57561.060000000005,115557.34,38677.270000000004,26821362.110000003
