,0
catchment_hectares,3786556.7357
tn_load_net,48505817.16091486
tp_load_net,3538701.069696294
tss_load_net,1998280953.572558
tn_load_ps_net,12595554.722306114
tp_load_ps_net,1590657.5402045273
tss_load_ps_net,0.0
tn_load_xsnps_net,3314412.421046533
tp_load_xsnps_net,784350.2407396975
tss_load_xsnps_net,194377057.18820968
tn_load_rem1_net,3289690.193955511
tp_load_rem1_net,764302.2971137974
tss_load_rem1_net,193963658.11587292
tn_load_rem2_net,3289509.3198334337
tp_load_rem2_net,763948.5910587294
tss_load_rem2_net,193950084.25055826
tn_load_rem3_net,3286659.6483085295
tp_load_rem3_net,748817.3208769395
tss_load_rem3_net,193720819.33356738
