,0
catchment_hectares,3368531.7773
tn_load_net,45236476.49993625
tp_load_net,2375601.924821145
tss_load_net,1434817931.3612974
tn_load_ps_net,12142483.771577854
tp_load_ps_net,1090868.2924685641
tss_load_ps_net,0.0
tn_load_xsnps_net,-95881591.48536608
tp_load_xsnps_net,-1216498.13675443
tss_load_xsnps_net,-5037112244.88617
tn_load_rem1_net,-95970346.09958112
tp_load_rem1_net,-1233385.1571556013
tss_load_rem1_net,-5051061277.4106655
tn_load_rem2_net,-95971615.82930234
tp_load_rem2_net,-1233763.592572312
tss_load_rem2_net,-5051211603.456972
tn_load_rem3_net,-95997397.71308912
tp_load_rem3_net,-1248443.8515418186
tss_load_rem3_net,-5053054744.203947
