,0
catchment_hectares,140398.6929
tn_load_net,724215.0918786027
tp_load_net,33149.740946771606
tss_load_net,119380678.52863777
tn_load_ps_net,0.0
tp_load_ps_net,0.0
tss_load_ps_net,0.0
tn_load_xsnps_net,-2375051.848762245
tp_load_xsnps_net,-25821.5116235616
tss_load_xsnps_net,-36106857.41514089
tn_load_rem1_net,-2375051.8438669653
tp_load_rem1_net,-25821.51100475867
tss_load_rem1_net,-36106856.664768815
tn_load_rem2_net,-2375051.8438669653
tp_load_rem2_net,-25821.51100475867
tss_load_rem2_net,-36106856.664768815
tn_load_rem3_net,-2375174.9835320613
tp_load_rem3_net,-25833.151340587654
tss_load_rem3_net,-36115020.726507634
