huc08,huc08_name,comid,nord,in_drb,catchment_hectares,tn_load,tp_load,tss_load,tn_load_ps,tp_load_ps,tn_load_avoid,tp_load_avoid,tss_load_avoid,tn_load_xsnps,tp_load_xsnps,tss_load_xsnps,tn_load_red1,tp_load_red1,tss_load_red1,tn_load_red2,tp_load_red2,tss_load_red2,tn_load_red3,tp_load_red3,tss_load_red3,tn_load_rem1,tp_load_rem1,tss_load_rem1,tn_load_rem2,tp_load_rem2,tss_load_rem2,tn_load_rem3,tp_load_rem3,tss_load_rem3
02040101,Upper Delaware,2619256,73297,True,308103.3782,931586.6587293705,75654.78176760905,45126138.12788113,60286.11024028809,2111.734752863765,0.0,0.0,0.0,-4388024.117384918,-21969.00022725472,-239499762.65327886,27.285398478099975,16.2665940262,3289.5119161691,27.285398478099975,16.2665940262,3289.5119161691,456.9147362477005,345.1745762698006,38402.15522018397,-4388051.402783396,-21985.26682128092,-239503052.16519502,-4388051.402783396,-21985.26682128092,-239503052.16519502,-4388481.032121166,-22314.17480352452,-239538164.80849904
02040102,East Branch Delaware,1752159,74523,True,217471.8713,485223.685295652,36614.47281753294,25146941.80152572,4977.76900098225,1144.23088441825,0.0,0.0,0.0,-3231998.92679633,-31946.038169885316,-175753572.90541428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3231998.92679633,-31946.038169885316,-175753572.90541428,-3231998.92679633,-31946.038169885316,-175753572.90541428,-3231998.92679633,-31946.038169885316,-175753572.90541428
02040103,Lackawaxen,2741462,72447,True,154757.2607,457724.92283425975,51232.942978050276,34093491.54511716,72685.99333583865,8370.314558650463,0.0,0.0,0.0,-2256667.510650579,-5112.122397600188,-108871265.88954283,0.0,0.0,0.0,0.0,0.0,0.0,1029.512679837388,882.5925238499999,85288.64387142556,-2256667.510650579,-5112.122397600188,-108871265.88954283,-2256667.510650579,-5112.122397600188,-108871265.88954283,-2257697.0233304165,-5994.714921450188,-108956554.53341426
02040104,Middle Delaware-Mongaup-Brodhead,4154510,70222,True,395876.69180000003,1257236.5336978761,91180.32749128247,75432827.79483326,123149.33815625402,22144.26646808537,212.7205555604801,1916.0833469441218,89641.7034333238,-5623527.933484378,-53685.71343480291,-290278060.0900067,0.0,0.0,0.0,0.0,0.0,0.0,486.02427616180256,479.28913034940075,50342.65319428878,-5623527.933484378,-53685.71343480291,-290278060.0900067,-5623527.933484378,-53685.71343480291,-290278060.0900067,-5624013.95776054,-54165.0025651523,-290328402.743201
02040105,Middle Delaware-Musconetcong,4481949,68818,True,351714.7924,3743783.1406622077,311996.7243625704,190724238.01554587,825039.6651447905,95157.60067547217,78.18377466995254,712.4612250987193,30916.690997823407,-3085028.030750583,107807.53804309823,-134189887.2035741,19378.69274151,6041.30552610928,3695344.16938009,19712.4735177224,6220.24117725508,3753121.841129989,22288.187661588167,8827.976358003689,3889804.187682214,-3104406.723492093,101766.23251698895,-137885231.3729542,-3104740.5042683054,101587.29686584315,-137943009.0447041,-3107316.218412171,98979.56168509454,-138079691.39125633
02040106,Lehigh,4188251,74985,True,352414.9584,3789317.6367621664,412013.41697954,166717767.61572528,1410543.5170154439,209823.17285825204,103.85280543650103,956.163127703461,40291.405095794835,-3636949.220141278,92941.60701728801,-158843170.9541947,429.0820939971984,207.40346193260027,112063.64479314668,679.3022622829978,233.14590552460024,124261.63181832274,3669.420096959583,3128.899967654619,588579.3834791884,-3637378.302235275,92734.20355535542,-158955234.59898785,-3637628.522403561,92708.4611117634,-158967432.58601302,-3640618.6402382376,89812.70704963339,-159431750.3376739
02040201,Crosswicks-Neshaminy,4485575,68274,True,140175.69700000001,2344610.4285471668,265751.05255353794,125500181.61808807,1285694.0615183199,187443.2416279763,0.0,0.0,0.0,-1333882.780761153,34853.34485556166,-3994127.2705119266,0.0,0.0,0.0,0.0,0.0,0.0,1633.0235535051181,1573.100768152291,52270.26736545703,-1333882.780761153,34853.34485556166,-3994127.2705119266,-1333882.780761153,34853.34485556166,-3994127.2705119266,-1335515.8043146583,33280.24408740937,-4046397.5378773836
02040202,Lower Delaware,24903452,65081,True,298967.9128,17861605.46515871,972973.8693311104,326825473.29528904,14356301.483717067,827256.1881878742,11.039414978380517,93.2266560478197,4011.84225273521,-1598078.29005436,53037.6281752363,50638915.45064905,694.3223706816002,210.35153214179988,150927.5657278066,899.5812798275997,232.05683205099984,168489.08769336663,2071.672763744003,1152.4794719007919,216005.31969914678,-1598772.6124250414,52827.2766430945,50487987.884921245,-1598977.8713341875,52805.57134318529,50470426.36295569,-1600149.9628181038,51885.1487033355,50422910.13094991
02040203,Schuylkill,4784841,65459,True,494849.1119,9961102.712911978,927493.3547866325,344011390.7886486,3298814.749252857,437229.5948346816,13.96492907819993,130.1434903404814,5784.37957819039,-1784786.3764738792,336860.5352629508,-113130218.78457138,22754.75029559339,7998.705579150042,2662930.1370638954,22754.75029559339,7998.705579150042,2662930.1370638954,30274.71440791518,15773.94093879701,3451658.151372317,-1807541.1267694726,328861.8296838008,-115793148.92163529,-1807541.1267694726,328861.8296838008,-115793148.92163529,-1815061.0908817945,321086.59432415385,-116581876.9359437
02040204,Delaware Bay,24903800,63468,True,16366.220099999999,3369571.8358641537,233305.91826822105,10195125.585342586,3353256.6877755895,230292.89207442477,0.0,0.0,0.0,-263056.2290184355,-2060.5020372037193,-4923988.543037414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003235529933590442,-263056.2290184355,-2060.5020372037193,-4923988.543037414,-263056.2290184355,-2060.5020372037193,-4923988.543037414,-263056.2290184355,-2060.5020372037193,-4923988.546272944
02040205,Brandywine-Christina,24903566,63768,True,194672.0361,3002383.5848254543,215863.92692786126,133551851.63303407,454027.2175027694,85888.59303780158,0.0,0.0,0.0,-774695.2889043149,69627.00269905968,-46286175.31614592,15794.357154603837,5562.818263382597,6151801.432581784,15794.357154603837,5562.818263382597,6151801.432581784,18362.30255879686,7928.796885127405,6439768.354507633,-790489.6460589188,64064.18443567708,-52437976.74872771,-790489.6460589188,64064.18443567708,-52437976.74872771,-793057.5914631118,61698.205813932276,-52725943.67065355
02040206,Cohansey-Maurice,24903666,63485,True,271881.3944,3533476.9906366486,196948.3571901416,146804930.8759467,1134454.4689119789,99644.08909403728,9.396347168580728,82.63983377585994,3197.017438593559,-2241992.880683331,13021.035832104342,-104359101.27077329,1318.977392121089,361.0456377136018,283484.01049411594,1593.7086484029885,511.4000950216019,360338.7278789556,1787.9930845500896,619.3073785782044,374577.31778123777,-2243311.8580754516,12659.99019439074,-104642585.2812674,-2243586.5893317335,12509.63573708274,-104719439.99865225,-2243780.8737678807,12401.728453526139,-104733678.58855453
02040207,Broadkill-Smyrna,25039920,77563,True,167155.5345,3447383.4280474395,183322.97271096596,74155054.24871457,98239.57453440779,7703.257342066194,0.0,0.0,0.0,495798.8795980316,123801.49967389976,-80263228.52238542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495798.8795980316,123801.49967389976,-80263228.52238542,495798.8795980316,123801.49967389976,-80263228.52238542,495798.8795980316,123801.49967389976,-80263228.52238542
02040301,Mullica-Toms,9455643,106890,False,259375.1644,1106618.648324801,68436.14050402588,148170117.43216035,0.0,0.0,24.20987301711996,212.83261584312012,8665.954040434854,-3320915.407983199,-11970.160459974111,-91440659.44055966,0.0,0.0,0.0,0.0,0.0,0.0,89.08127951059572,14.76460006820123,8016.542678297643,-3320915.407983199,-11970.160459974111,-91440659.44055966,-3320915.407983199,-11970.160459974111,-91440659.44055966,-3321004.48926271,-11984.925060042313,-91448675.98323795
02040302,Great Egg Harbor,9436873,114472,False,158649.794,822457.6800762053,53920.383235939546,165053750.15760162,0.0,0.0,0.0,0.0,0.0,-1885694.3035037948,4738.947095939545,18493070.460401636,0.09510129950012924,0.021658750999989707,7.294864995987155,0.09510129950012924,0.021658750999989707,7.294864995987155,69.59850934550784,11.757600246801069,6114.7502382037965,-1885694.3986050943,4738.9254371885445,18493063.16553664,-1885694.3986050943,4738.9254371885445,18493063.16553664,-1885763.9020131403,4727.189495692744,18486955.710163437
