huc08,huc08_name,catchment_hectares,maflowv_net,tn_load_net,tp_load_net,tss_load_net,tn_load_ps_net,tp_load_ps_net,tn_load_xsnps_net,tp_load_xsnps_net,tss_load_xsnps_net,tn_load_red1_net,tp_load_red1_net,tss_load_red1_net,tn_load_red2_net,tp_load_red2_net,tss_load_red2_net,tn_load_red3_net,tp_load_red3_net,tss_load_red3_net,tn_load_rem1_net,tp_load_rem1_net,tss_load_rem1_net,tn_load_rem2_net,tp_load_rem2_net,tss_load_rem2_net,tn_load_rem3_net,tp_load_rem3_net,tss_load_rem3_net
02040101,Upper Delaware,308103.3782,2334.482,703757.2254765234,47525.458333372095,29664392.097563293,48904.53752113176,947.407610340141,0.0,23.40489303332106,0.0,27.228393668643548,15.5248919770454,3214.2017736220732,27.228393668643548,15.5248919770454,3214.2017736220732,351.55595901781635,243.31715338886966,29087.297585981898,0.0,23.40489303332106,0.0,0.0,23.40489303332106,0.0,0.0,23.40489303332106,0.0
02040102,East Branch Delaware,217471.8713,2701.343,644530.7672575266,38905.50530984227,30300607.999063194,14837.360915366979,2987.359594081353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02040103,Lackawaxen,154757.26069999998,1139.9620000000002,498376.9925646459,40288.91369752986,22701096.594631974,130066.12142027376,10504.229352017122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1245.9511356419243,764.8862766875036,88193.1848480571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02040104,Middle Delaware-Mongaup-Brodhead,395876.69180000003,3441.4039999999995,926772.922704771,42870.57677683493,49303672.348619685,59793.43027515054,6618.24410853827,1049.1757320510224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.36789232995943,357.8262657098139,45853.68555764435,1049.1757320510224,0.0,0.0,1049.1757320510224,0.0,0.0,1049.1757320510224,0.0,0.0
02040105,Middle Delaware-Musconetcong,351714.7924,5024.397999999999,2097438.432403074,131241.44229712948,88639752.61894864,530252.0422136774,46818.78109980277,0.0,22933.554500462513,0.0,18208.88632601293,5197.448726172438,3381642.1006990634,18283.982857454714,5218.053432411706,3389883.3146890067,19590.50538551729,6353.657775114943,3436134.6953436397,0.0,20568.597239205195,0.0,0.0,20569.39474051957,0.0,0.0,19726.337030975996,0.0
02040106,Lehigh,352414.9584,2938.482000000001,2528907.5275072246,229425.55561501335,133289956.64466988,320245.04239831876,67607.19060032169,0.0,66905.95969965488,307335.44117824547,428.7840279865777,204.35939914755,111202.15528416354,678.8863604849321,229.83599048256656,123337.05013883393,3496.6308341747317,2674.112943066356,549088.7162291758,0.0,66705.67066125196,308443.89457972907,0.0,66680.65804068909,308554.4060061518,0.0,64785.43365271814,303968.77925780416
02040201,Crosswicks-Neshaminy,140175.69700000001,937.5399999999988,1204202.5153933645,60757.022840169826,79050240.79405397,179568.72586633769,16906.0640035491,0.0,2289.143551342676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1533.6338502759245,921.6469540059195,37799.324403640465,0.0,2289.143551342676,0.0,0.0,2289.143551342676,0.0,0.0,2012.8483228201394,0.0
02040202,Lower Delaware,298967.9128,1592.8669999999993,3674904.2446395885,165210.46110051236,154294516.00455034,1643009.3525458993,107418.86326540852,210169.88835700633,3047.4146188644636,121390.75283995533,674.4749769822229,198.05458325552138,144143.50432855194,879.7338861282333,219.75988316472365,161705.02629413432,1733.0504876246232,788.6547504669486,189346.8302537271,209892.290818025,2933.317367370518,121390.75283995533,209892.290818025,2933.317367370518,121390.75283995533,209849.40555513385,2800.066435748837,120097.64019779218
02040203,Schuylkill,494849.1119,3289.158000000001,11223810.734839564,653188.8969578319,280512756.47540027,3732974.391634112,304384.7417243884,701435.6210793785,159093.66716942174,12019476.820708698,34007.38623592249,8149.32902506179,4092592.6508827205,34007.38623592249,8149.32902506179,4092592.6508827205,41668.990948511084,13415.721833664997,4768909.236152052,697242.998731344,152543.10993786433,11974297.932536487,697242.998731344,152543.10993786433,11974297.932536487,696467.498694123,148187.66790651172,11956645.497169884
02040204,Delaware Bay,16366.220099999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02040205,Brandywine-Christina,194672.0361,19949.230999999996,2547350.8367070435,94306.13259079512,68913051.15032251,383262.5353970933,25850.871179313857,0.0,25479.67538887661,0.0,16076.680132193816,4483.023045622188,5574594.062396681,16076.680132193816,4483.023045622188,5574594.062396681,18529.684479351745,6289.706357751935,5807373.12868589,0.0,20996.652343254424,0.0,0.0,20996.652343254424,0.0,0.0,19211.150706752447,0.0
02040206,Cohansey-Maurice,271881.3944,75525.42700000001,2294688.460660302,45763.161484772914,34730521.63219751,610115.4189283903,23585.855483144398,0.0,2172.0386753282273,0.0,1740.9806969514393,111.68017168498253,150910.60215170705,2000.5849307628014,153.4762227838103,193935.86344275833,2153.28653092467,186.7264294629651,200123.32229231676,0.0,2151.377052411904,0.0,0.0,2151.377052411904,0.0,0.0,2144.128962521352,0.0
02040207,Broadkill-Smyrna,166930.4442,713.492,2627510.329642825,53690.61099831119,29584277.794663336,90250.79386626037,1870.5033181175454,605629.9230036606,25283.362149057946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605629.9230036606,25283.362149057946,0.0,605629.9230036606,25283.362149057946,0.0,605629.9230036606,25283.362149057946,0.0
02040301,Mullica-Toms,259375.1644,1410.8540000000003,890909.063031314,18105.81089112836,60044128.60789788,0.0,0.0,0.0,1026.4867446189403,8948677.213708099,0.0,0.0,0.0,0.0,0.0,0.0,79.05392813051981,6.336030701612211,4882.438097034425,0.0,1026.4867446189403,8948677.213708099,0.0,1026.4867446189403,8948677.213708099,0.0,1026.3890288077905,8947226.208747812
02040302,Great Egg Harbor,154155.8476,820.299,534997.0673598873,12693.84994997221,36723153.85924299,0.0,0.0,0.0,946.495887550552,6594667.886021324,0.18868630879296688,0.036257209692848846,13.35394573258236,0.18868630879296688,0.036257209692848846,13.35394573258236,62.798508466749354,6.326342335750576,4313.859060337854,0.0,946.495887550552,6594667.886021324,0.0,946.495887550552,6594667.886021324,0.0,946.3177709111259,6594571.373647279
