nhdplus_comid,huc08
2741462,2040103
2591441,2040105
932040294,2040105
2590183,2040105
2591445,2040105
2591437,2040105
2591419,2040105
2591411,2040105
2591487,2040105
2591405,2040105
2588525,2040105
2588523,2040105
2588497,2040105
2588483,2040105
2588477,2040105
2588473,2040105
2588465,2040105
2588491,2040105
2588561,2040105
2588459,2040105
4188251,2040105
2588455,2040105
2588519,2040105
2588515,2040105
2588509,2040105
2588505,2040105
2588499,2040105
2588487,2040105
2588449,2040105
2588433,2040105
2588427,2040105
2588419,2040105
2588421,2040105
2588413,2040105
2588407,2040105
2588403,2040105
2588367,2040105
2588379,2040105
2588373,2040105
2588363,2040105
2588357,2040105
2588353,2040105
2588345,2040105
2588337,2040105
2588327,2040105
2588317,2040105
2588311,2040105
2588287,2040105
2588285,2040105
2588283,2040105
4154510,2040105
2588307,2040105
2590273,2040105
2590265,2040105
2589785,2040105
2589767,2040105
2590251,2040105
2590247,2040105
2590239,2040105
2590229,2040105
2590223,2040105
2590219,2040105
2590213,2040105
2590205,2040105
2590199,2040105
2590195,2040105
2590193,2040105
2590295,2040105
4496362,2040202
24902748,2040202
4496368,2040202
4499332,2040202
4496344,2040202
4496230,2040202
4496240,2040202
4499322,2040202
4499320,2040202
4496116,2040202
4496304,2040202
4496280,2040202
4496250,2040202
4496078,2040202
4784843,2040202
4489198,2040202
4489194,2040202
4499294,2040202
4499292,2040202
4489202,2040202
4495994,2040202
4499298,2040202
4495870,2040202
4488288,2040202
4488284,2040202
4488278,2040202
24902758,2040204
24902756,2040204
932040355,2040204
932040356,2040204
24903436,2040204
932040355,2040206
932040356,2040206
24903436,2040206
932040356,2040205
932040355,2040205
24902756,2040205
24902758,2040205
932040360,2040205
932040361,2040205
24902764,2040205
932040109,2040205
932040183,2040205
4652384,2040205
932040111,2040205
4652460,2040205
4652226,2040205
932040184,2040205
24902806,2040205
24902810,2040205
24902842,2040205
24902860,2040205
8074120,2040205
