huc10,huc10_name,comid,nord,in_drb,huc08,catchment_hectares,tn_load,tp_load,tss_load,tn_load_ps,tp_load_ps,tn_load_avoid,tp_load_avoid,tss_load_avoid,tn_load_xsnps,tp_load_xsnps,tss_load_xsnps,tn_load_red1,tp_load_red1,tss_load_red1,tn_load_red2,tp_load_red2,tss_load_red2,tn_load_red3,tp_load_red3,tss_load_red3,tn_load_rem1,tp_load_rem1,tss_load_rem1,tn_load_rem2,tp_load_rem2,tss_load_rem2,tn_load_rem3,tp_load_rem3,tss_load_rem3
0204010101,Upper West Branch Delaware River,2612826,74277,True,02040101,51001.7886,156151.71908884746,11983.746298324519,7735084.330855546,0.0,0.0,0.0,0.0,0.0,-714448.8123131525,-3826.8081676754814,-39380367.97782445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-714448.8123131525,-3826.8081676754814,-39380367.97782445,-714448.8123131525,-3826.8081676754814,-39380367.97782445,-714448.8123131525,-3826.8081676754814,-39380367.97782445
0204010102,Middle West Branch Delaware River,2614138,74141,True,02040101,66948.2854,270226.96465598047,17310.924691301207,10698522.523435626,44066.49973770357,393.45470613050554,0.0,0.0,0.0,-916646.7668597231,-3836.4984888292984,-51148303.52908437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-916646.7668597231,-3836.4984888292984,-51148303.52908437,-916646.7668597231,-3836.4984888292984,-51148303.52908437,-916646.7668597231,-3836.4984888292984,-51148303.52908437
0204010103,Lower West Branch Delaware River,2617290,73934,True,02040101,54778.443,183366.64518320997,14383.009423514859,6922482.621528971,2201.523762904062,291.8120563873261,0.0,0.0,0.0,-753902.9005896942,-2890.119962872467,-43681843.02187103,27.285398478099975,16.2665940262,3289.5119161691,27.285398478099975,16.2665940262,3289.5119161691,66.90940531570102,50.25704609119995,6774.195425205699,-753930.1859881722,-2906.386556898667,-43685132.5337872,-753930.1859881722,-2906.386556898667,-43685132.5337872,-753969.8099950098,-2940.3770089636673,-43688617.217296235
0204010104,Upper Delaware River,2616816,73702,True,02040101,42273.9588,105670.94561801292,9799.261443964235,5376243.024494096,8437.564612656537,976.4229407058161,0.0,0.0,0.0,-624383.0957106437,-4282.088724741582,-33676440.1149459,0.0,0.0,0.0,0.0,0.0,0.0,87.44809603789898,67.36685471679972,7323.10035280182,-624383.0957106437,-4282.088724741582,-33676440.1149459,-624383.0957106437,-4282.088724741582,-33676440.1149459,-624470.5438066815,-4349.455579458382,-33683763.215298705
0204010105,Middle Delaware River,2617486,73565,True,02040101,46119.2838,105524.56890873991,11408.344809246208,7077805.593388075,1969.75860665487,168.533912595569,0.0,0.0,0.0,-683701.3641639149,-3057.1670813493615,-35527188.78105193,0.0,0.0,0.0,0.0,0.0,0.0,54.2861381867004,40.27021344239997,3997.992896164101,-683701.3641639149,-3057.1670813493615,-35527188.78105193,-683701.3641639149,-3057.1670813493615,-35527188.78105193,-683755.6503021017,-3097.437294791762,-35531186.77394809
0204010106,Lower Delaware River,2619256,73297,True,02040101,46981.6186,110645.81527457971,10769.49510125802,7316000.034178817,3610.763520369052,281.5111370445484,0.0,0.0,0.0,-694941.1777477893,-4076.3178017865284,-36085619.22850118,0.0,0.0,0.0,0.0,0.0,0.0,248.27109670740006,187.28046201940091,20306.866546012352,-694941.1777477893,-4076.3178017865284,-36085619.22850118,-694941.1777477893,-4076.3178017865284,-36085619.22850118,-695189.4488444967,-4263.5982638059295,-36105926.09504719
0204010201,Willowemoc Creek,1750427,74638,True,02040102,33835.5105,71538.19491150501,5559.2784202739595,4314082.52271477,4977.76900098225,1144.23088441825,0.0,0.0,0.0,-511011.7383244773,-6073.960719144291,-26943162.07718523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-511011.7383244773,-6073.960719144291,-26943162.07718523,-511011.7383244773,-6073.960719144291,-26943162.07718523,-511011.7383244773,-6073.960719144291,-26943162.07718523
0204010202,Beaver Kill,1752843,74589,True,02040102,43599.6765,92533.28147422495,5933.833100909397,4198463.775345311,0.0,0.0,0.0,0.0,0.0,-651713.1963807751,-7582.066614090602,-36078917.375354685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-651713.1963807751,-7582.066614090602,-36078917.375354685,-651713.1963807751,-7582.066614090602,-36078917.375354685,-651713.1963807751,-7582.066614090602,-36078917.375354685
0204010203,Upper East Branch Delaware River,1748587,74889,True,02040102,55061.1569,109729.90715641664,10079.975144586524,8159314.79287693,0.0,0.0,0.0,0.0,0.0,-830164.0411265834,-6988.9834944134755,-42706181.95134307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-830164.0411265834,-6988.9834944134755,-42706181.95134307,-830164.0411265834,-6988.9834944134755,-42706181.95134307,-830164.0411265834,-6988.9834944134755,-42706181.95134307
0204010204,Middle East Branch Delaware River,1748773,74873,True,02040102,41029.0663,88763.04908175301,7406.355908443945,4690351.677477456,0.0,0.0,0.0,0.0,0.0,-611603.112659247,-5312.654644556055,-33212299.770462543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-611603.112659247,-5312.654644556055,-33212299.770462543,-611603.112659247,-5312.654644556055,-33212299.770462543,-611603.112659247,-5312.654644556055,-33212299.770462543
