huc10,huc10_name,huc08,catchment_hectares,maflowv_net,tn_load_net,tp_load_net,tss_load_net,tn_load_ps_net,tp_load_ps_net,tn_load_xsnps_net,tp_load_xsnps_net,tss_load_xsnps_net,tn_load_red1_net,tp_load_red1_net,tss_load_red1_net,tn_load_red2_net,tp_load_red2_net,tss_load_red2_net,tn_load_red3_net,tp_load_red3_net,tss_load_red3_net,tn_load_rem1_net,tp_load_rem1_net,tss_load_rem1_net,tn_load_rem2_net,tp_load_rem2_net,tss_load_rem2_net,tn_load_rem3_net,tp_load_rem3_net,tss_load_rem3_net
0204010101,Upper West Branch Delaware River,02040101,9647.0216,286.868,137225.58931321144,9575.204863435052,5888706.765116736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0204010102,Middle West Branch Delaware River,02040101,3493.4474,502.984,216630.8780460191,10591.894619795774,8457746.425109966,43416.233705804174,314.18742077314147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0204010103,Lower West Branch Delaware River,02040101,1998.3376,427.137,145688.41413505704,7334.868603819837,3310658.330034246,954.5935189610973,100.62835166538287,0.0,0.0,0.0,27.228393668643548,15.5248919770454,3214.2017736220732,27.228393668643548,15.5248919770454,3214.2017736220732,31.465584235600545,18.096298945790977,3663.9619950139895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0204010104,Upper Delaware River,02040101,1282.5610000000001,256.97200000000004,64073.594003302525,5970.1080925680435,3522228.3005715576,1026.2713570832702,332.52654382400567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.80723176669562,60.759747062154474,6843.5612239427865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0204010105,Middle Delaware River,02040101,2337.6802,367.5940000000001,65860.29526896228,6958.209531602492,4163138.6148702772,1969.758606654864,168.5339125955619,0.0,23.40489303332106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.40489303332106,0.0,0.0,23.40489303332106,0.0,0.0,23.40489303332106,0.0
0204010106,Lower Delaware River,02040101,2273.8311,492.9269999999997,74278.45470997097,7095.172622150899,4321913.66186051,1537.6803326283482,31.531381482049134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.28314301552018,164.4611073809242,18579.774367025122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0204010201,Willowemoc Creek,02040102,2405.8809,325.843,71369.2024664774,5307.781605608184,4193305.0408696244,4973.1064981111385,1120.828479061191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0204010202,Beaver Kill,02040102,4589.7851,599.717,135624.37139091187,7983.436337353332,6495723.874657057,4939.571566572459,964.4010531054622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0204010203,Upper East Branch Delaware River,02040102,11007.2412,419.78,109527.8487126883,9678.645204187143,7990771.435607091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0204010204,Middle East Branch Delaware River,02040102,9917.139,307.005,54355.220396073404,4690.4246678027,2902315.1645053714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
