huc12,huc12_name,centroid_xy,comid,nord,to_huc12,outlet_comid,from_huc12s,inlet_comids,outlet_comids,huc10,huc08,in_drb,catchment_hectares,tn_load,tp_load,tss_load,tn_load_ps,tp_load_ps,tn_load_avoid,tp_load_avoid,tss_load_avoid,tn_load_xsnps,tp_load_xsnps,tss_load_xsnps,tn_load_red1,tp_load_red1,tss_load_red1,tn_load_red2,tp_load_red2,tss_load_red2,tn_load_red3,tp_load_red3,tss_load_red3,tn_load_rem1,tp_load_rem1,tss_load_rem1,tn_load_rem2,tp_load_rem2,tss_load_rem2,tn_load_rem3,tp_load_rem3,tss_load_rem3
020401010101,Town Brook-Headwaters West Brach Delaware River,[-74.62155936  42.38709123],2612792,74293,020401010102,2612792,,,[2612792],0204010101,02040101,True,8444.443599999999,22490.627970135407,2165.0768492421457,1383812.3001457332,0.0,0.0,0.0,0.0,0.0,-121656.02428186458,-452.7006667578543,-6417164.697534266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-121656.02428186458,-452.7006667578543,-6417164.697534266,-121656.02428186458,-452.7006667578543,-6417164.697534266,-121656.02428186458,-452.7006667578543,-6417164.697534266
020401010102,Betty Brook-Headwaters West Brach Delaware River,[-74.71393636  42.38194566],2612800,74290,020401010103,2612800,['020401010101'],[2612792],[2612800 2612922],0204010101,02040101,True,6492.3524,18958.676017699203,1556.048843767147,807763.5860589357,0.0,0.0,0.0,0.0,0.0,-91865.7794503008,-456.5804002328531,-5189871.561061064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-91865.7794503008,-456.5804002328531,-5189871.561061064,-91865.7794503008,-456.5804002328531,-5189871.561061064,-91865.7794503008,-456.5804002328531,-5189871.561061064
020401010103,Rose Brook-Headwaters West Brach Delaware River,[-74.71097819  42.33066569],2612808,74288,020401010104,2612808,['020401010102'],[2612800],[2612808],0204010101,02040101,True,6632.3766,39682.53979602999,1611.63329271938,720111.2856454311,0.0,0.0,0.0,0.0,0.0,-73532.12876597002,-444.40345328062006,-5406878.217434568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-73532.12876597002,-444.40345328062006,-5406878.217434568,-73532.12876597002,-444.40345328062006,-5406878.217434568,-73532.12876597002,-444.40345328062006,-5406878.217434568
020401010104,Elk Creek-Headwaters West Brach Delaware River,[-74.82334627  42.34506257],2612820,74282,020401010106,2612820,['020401010103'],[2612808],[2612820],0204010101,02040101,True,7058.5774,30418.324664988748,1688.653290772532,908480.9512592466,0.0,0.0,0.0,0.0,0.0,-90071.59155301125,-499.50570322746796,-5612232.850860753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90071.59155301125,-499.50570322746796,-5612232.850860753,-90071.59155301125,-499.50570322746796,-5612232.850860753,-90071.59155301125,-499.50570322746796,-5612232.850860753
020401010105,Upper Little Delaware River,[-74.78436638  42.27096487],2612842,74311,020401010106,2612842,,,[2612842],0204010101,02040101,True,13508.381,25757.077207067498,2693.289548000836,2112997.5889830207,0.0,0.0,0.0,0.0,0.0,-204830.9864629325,-1494.3085619991637,-10366044.77881698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-204830.9864629325,-1494.3085619991637,-10366044.77881698,-204830.9864629325,-1494.3085619991637,-10366044.77881698,-204830.9864629325,-1494.3085619991637,-10366044.77881698
020401010106,Wright Brook-Headwaters West Brach Delaware River,[-74.90505933  42.3328608 ],2612826,74277,020401010201,2612826,['020401010104' '020401010105'],[2612820 2612842],[2612826],0204010101,02040101,True,8865.6576,18844.47343292662,2269.044473822478,1801918.6187631786,0.0,0.0,0.0,0.0,0.0,-132492.30179907338,-479.3093821775221,-6388175.872116821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-132492.30179907338,-479.3093821775221,-6388175.872116821,-132492.30179907338,-479.3093821775221,-6388175.872116821,-132492.30179907338,-479.3093821775221,-6388175.872116821
020401010201,Platner Brook-Upper West Branch Delaware River,[-74.98204798  42.27268524],2612944,74271,020401010202,2612944,['020401010106'],[2612826],[2612944],0204010102,02040101,True,7748.6489,49075.03119670011,2023.398780377574,1183218.2646702798,30380.406625237796,17.2499734544239,0.0,0.0,0.0,-113574.81215153768,-395.93235207684995,-5974983.58914972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-113574.81215153768,-395.93235207684995,-5974983.58914972,-113574.81215153768,-395.93235207684995,-5974983.58914972,-113574.81215153768,-395.93235207684995,-5974983.58914972
020401010202,Bagley Brook-Upper West Branch Delaware River,[-74.94972417  42.21477833],2613460,74264,020401010204,2613460,['020401010201'],[2612944],[2613460 2613464 2613462],0204010102,02040101,True,7815.7414,35559.24988862939,2046.4335012697738,1158437.002217129,0.0,0.0,0.0,0.0,0.0,-97855.45580937061,-376.44633273022595,-6061744.90310287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-97855.45580937061,-376.44633273022595,-6061744.90310287,-97855.45580937061,-376.44633273022595,-6061744.90310287,-97855.45580937061,-376.44633273022595,-6061744.90310287
020401010203,East Brook,[-75.07046024  42.23599233],2613498,74355,020401010204,2613498,,,[2613498],0204010102,02040101,True,6477.8806,15535.55707626166,1719.7097643898478,1001549.5307137351,0.0,0.0,0.0,0.0,0.0,-95041.86476573834,-288.4332216101523,-4982716.567566264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-95041.86476573834,-288.4332216101523,-4982716.567566264,-95041.86476573834,-288.4332216101523,-4982716.567566264,-95041.86476573834,-288.4332216101523,-4982716.567566264
020401010204,Mallory Brook-Upper West Branch Delaware River,[-75.05487611  42.16431883],2613528,74226,020401010205,2613528,['020401010202' '020401010203'],[2613460 2613498],[2613528],0204010102,02040101,True,5737.0519,33225.45147451469,1491.7372623083904,779648.0389137969,6.86100028394129,0.57302101111349,0.0,0.0,0.0,-64712.88545876925,-287.32184770272306,-4520240.506306203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64712.88545876925,-287.32184770272306,-4520240.506306203,-64712.88545876925,-287.32184770272306,-4520240.506306203,-64712.88545876925,-287.32184770272306,-4520240.506306203
