practice_type,practice_count,area_ac,tn_load_reduced,tp_load_reduced,tss_load_reduced
Animal Waste Management System,1,0.0,0.0,0.0,0.0
Barnyard Runoff Control,1,0.59,0.0,0.0,0.0
"Bioretention/rain gardens - A/B soils, no underdrain",1,0.07,0.0,0.0,0.0
Conservation Cover,4,19.38,7.699999999999999,3.4699999999999998,1492.81
Conservation easement,25,3427.71,0.0,0.0,0.0
Cover Crop,24,4932.02,0.0,0.0,0.0
Dry Extended Detention Ponds,1,0.59,0.0,0.0,0.0
Fee acquisition,19,5455.92,0.0,0.0,0.0
Forest Buffer,8,66.84,992.37,101.97,51767.03
Forest Buffer - Narrow,2,2.24,0.0,0.0,0.0
Forest Buffer-Streamside with Exclusion Fencing,1,9.32,0.0,0.0,0.0
Forest Management Plan,1,0.0,0.0,0.0,0.0
Forest Planting,2,23.11,0.0,0.0,0.0
Grass Buffers,1,23.13,0.0,0.0,0.0
Non-Urban Stream Restoration,6,8.54,617.03,370.21000000000004,85329.42
Not Specified,2,0.0,0.0,0.0,0.0
"Residue and Tillage Management, No Till",3,485.81,0.0,0.0,0.0
Riparian Forest Buffer,5,8.8,47.07,10.99,4963.46
Soil Conservation and Water Quality Plans,1,75.68,0.0,0.0,0.0
Stream Channel Stabilization,1,0.54,33.2,19.92,4468.66
Tree Planting,1,0.0,0.0,0.0,0.0
Tree and Shrub Establishment,2,8.0,0.0,0.0,0.0
Urban Stream Restoration,3,12.15,0.0,0.0,0.0
Wetland Creation - Floodplain,1,5.31,0.22,0.12,77.05
Wetland Enhancement,4,40.82,0.0,0.0,0.0
Wetland Restoration,10,32.41,87.75999999999999,46.94,31011.379999999997
Wetland Restoration - Floodplain,6,8.67,37.14,19.7,7673.849999999999
Wetland Restoration - Headwater,1,8.72,0.0,0.0,0.0
TOTAL,137,14656.37,1822.4900000000002,573.3200000000002,186783.66
